image_id,iou,iou_inv,iou_inv_robust,used_inversion,dice,dice_inv,dice_inv_robust,boundary_precision,boundary_recall,boundary_f1,ari,pred_fg_ratio,gt_fg_ratio,oracle_agg_iou,oracle_agg_iou_inv,oracle_agg_iou_inv_robust,oracle_agg_used_inversion,oracle_agg_num_segments,agg_iou,agg_iou_inv,agg_iou_inv_robust,agg_used_inversion,agg_num_segments
rwtd_1,0.9396354387444343,0.004912194522902353,0.9396354387444343,0,0.9688783984609805,0.009776365636073297,0.9688783984609805,0.7317596566366575,0.7929411764519307,0.761122899149363,0.9476106034306239,0.1739959716796875,0.1750946044921875,0.9396354387444343,0.9869245037002577,0.9869245037002577,1,1,0.9396354387444343,0.9869245037002577,0.9869245037002577,1,1
rwtd_101,0.15630923565945692,0.001881441893438981,0.15630923565945692,0,0.27035888123874047,0.0037558174346123737,0.27035888123874047,0.2580645161207076,0.09559748427552707,0.13951353437300656,0.012353272326075136,0.0828399658203125,0.522186279296875,0.5221862792967954,0.5192269343258908,0.5221862792967954,0,2,0.5221862792967954,0.5192269343258908,0.5221862792967954,0,2
rwtd_102,0.846982156710497,0.13981119540192208,0.846982156710497,0,0.9171525059224015,0.24532342894319725,0.9171525059224015,0.09569377989972756,0.06166219838976777,0.0749979572431396,0.11319525819481804,0.9710235595703125,0.8453521728515625,0.846982156710497,0.1546478271484139,0.846982156710497,0,1,0.846982156710497,0.1546478271484139,0.846982156710497,0,1
rwtd_103,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2867889404296875,0.28678894042964376,0.7132110595702037,0.7132110595702037,1,1,0.28678894042964376,0.7132110595702037,0.7132110595702037,1,1
rwtd_104,0.17046289492957215,0.0016093404859574615,0.17046289492957215,0,0.29127432517171603,0.003213509341230079,0.29127432517171603,0.8181818181380651,0.21969696969280877,0.3463835401173248,0.27089068239564246,0.008636474609375,0.03997802734375,0.17046289492957215,0.9652999754117032,0.9652999754117032,1,1,0.17046289492957215,0.9652999754117032,0.9652999754117032,1,1
rwtd_106,0.43048156272805754,0.0,0.43048156272805754,0,0.6018694318675318,0.0,0.6018694318675318,0.03328710124780462,0.07235142118676094,0.04559641310727324,0.5055766524300425,0.0628814697265625,0.1460723876953125,0.43048156272805754,0.9112268989659023,0.9112268989659023,1,2,0.43048156272805754,0.9112268989659023,0.9112268989659023,1,2
rwtd_107,0.2652414007229236,0.2259274299500213,0.2652414007229236,0,0.4192739829274826,0.3685820619238969,0.4192739829274826,0.1460674157248664,0.029396596183448188,0.04894319403971529,-0.0008085103472711906,0.326812744140625,0.5437164306640625,0.5437164306639796,0.4562835693358679,0.5437164306639796,0,3,0.5437164306639796,0.4562835693358679,0.5437164306639796,0,3
rwtd_109,0.013788808824831513,0.012636899747259128,0.013788808824831513,0,0.027202527202515266,0.024958402662224006,0.027202527202515266,0.35263157892880886,0.06616862326503556,0.11142853044541967,0.0009042346494536862,0.0131988525390625,0.3345794677734375,0.3345794677733865,0.6916650754247515,0.6916650754247515,1,2,0.3345794677733865,0.6916650754247515,0.6916650754247515,1,2
rwtd_118,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333160400390625,0.13331604003904216,0.8666839599608053,0.8666839599608053,1,1,0.13331604003904216,0.8666839599608053,0.8666839599608053,1,1
rwtd_12,0.21888577922777375,0.670078861234833,0.670078861234833,1,0.359157162972972,0.8024517605586433,0.8024517605586433,0.05925925925706447,0.03086419753022913,0.04058852923449598,0.2932122433192368,0.68145751953125,0.5213775634765625,0.5712776889699215,0.670078861234833,0.670078861234833,1,1,0.5712776889699215,0.670078861234833,0.670078861234833,1,1
