image_id,v9_iou,v9_ari,used_v8,cov7,prec7,areaU7,cov8,prec8,areaU8
1,0.8064880371081444,-0.026272012090885262,1,0.19137347500983865,0.9954147220175223,0.19225501770956316,0.98633608815427,0.9740086119790452,1.0126564344746163
2,0.9310268290627001,0.8540193065627938,0,0.533098510029601,0.96063531795697,0.5549436920176614,0.8973226836004035,0.9668923734853885,0.9280481553141176
3,0.4382760389934566,-0.001573356351876662,0,0.46688508179191407,0.9603612879071509,0.4861556662798899,0.5331149182080859,0.9719192002986436,0.5485177348531386
4,0.963055729485261,0.9665406999834419,0,0.1956369760716896,0.9965199093557786,0.19632018812164354,0.1956369760716896,0.9965199093557786,0.19632018812164354
5,0.9693730775167201,0.9159396218173528,0,0.6941610945710707,0.9737328556105799,0.7128865895521174,0.704996176810321,0.9673847527625851,0.728765028389217
8,0.48052861665162466,-0.007690073309777964,0,1.0,0.9847243857092608,1.015512578455886,1.0,0.9847243857092608,1.015512578455886
12,0.8845665604082356,0.7658322508639945,0,1.0,0.968396399446937,1.0326349835368163,1.0,0.968396399446937,1.0326349835368163
13,0.8319670803200209,0.7084688569122056,0,0.4152607802874743,0.9844997468551622,0.42179876796714577,1.0,0.9683602697887503,1.0326735112936345
14,0.9769615805317832,0.9580271128834078,0,0.45957744019556485,0.9823561346362649,0.4678318015143578,1.0,0.970573281772382,1.0303189040747973
15,0.8564773656667385,0.7684846359588393,0,1.0,0.9867409270571326,1.0134372382651762,0.9008776082444193,0.9943727641786245,0.905975747423619
16,0.5071261652230113,0.16696028154637912,0,0.7692494830312614,0.9604130808950087,0.8009568989984998,0.7692494830312614,0.9604130808950087,0.8009568989984998
17,0.8185065714035389,0.6276277266733303,1,0.03430479659987857,0.9733750978856696,0.03524314180051885,1.0,0.9925491699994522,1.0075067616051223
18,0.4089701596461224,0.08339961581815863,0,1.0,0.9739506076456658,1.026746112328328,0.528108801368033,0.9839207487056949,0.5367391652861647
22,0.9475593220306863,0.9077862686774758,0,0.4476210656713012,0.9821888412017168,0.4557382927743639,1.0,0.9567556609069927,1.0451989372626362
24,0.9467764789147469,0.9548487110544254,0,0.22313619325281134,0.9933252989709835,0.22463556851311953,0.22313619325281134,0.9933252989709835,0.22463556851311953
25,0.977985453972871,0.9658395695669256,0,0.397540073004285,0.9990826419910658,0.39790509442945565,1.0,0.9615590044102611,1.0399777813045548
27,0.906100379722197,0.8649609971857959,0,0.36490339460619886,0.9879217182036961,0.36936468536159933,1.0,0.9322950870938487,1.072621763048437
28,0.5138341129337068,0.2649160514530143,0,0.8638037474277049,0.9474903474903474,0.9116755117513268,0.8638037474277049,0.9474903474903474,0.9116755117513268
30,0.9618204133049331,0.9309751106715561,0,1.0,0.9895868781052202,1.010522696011004,1.0,0.9895868781052202,1.010522696011004
33,0.9567187443343663,0.8298490746787678,0,0.8383621740190105,0.9763098639520142,0.858705012592412,1.0,0.9694416003780421,1.0315216508246
34,0.9103807700469891,0.7549367855880682,0,0.7448362720403022,0.9561622320768662,0.7789852464915438,1.0,0.9469613071405448,1.0560093558834114
36,0.984274247875995,0.9448100531115357,0,0.7932880378834671,0.9787213255695807,0.8105351514863559,0.7932880378834671,0.9787213255695807,0.8105351514863559
38,0.9151829128120035,0.6697699072177301,0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.5896608839656976,0.4917503863521102,0,1.0,0.9542559351476549,1.0479368932038835,1.0,0.9542559351476549,1.0479368932038835
40,0.9296270718167843,0.9313373955484379,0,1.0,0.9811498586239397,1.0192122958693564,1.0,0.9811498586239397,1.0192122958693564
41,0.7838842624048609,0.47303684886447495,0,1.0,0.9607125236945289,1.0408941023839127,1.0,0.9607125236945289,1.0408941023839127
44,0.04833365815614781,0.007870577219940932,0,0.06026151222285389,0.989993328885924,0.06087062454316576,0.12624868025663932,0.9813762626262627,0.12864452204986598
45,0.9878580836311003,0.9819892365249264,0,0.3734658094681473,0.9835267690003744,0.37972104190689815,1.0,0.9716517788623876,1.0291752886726586
47,0.6626394938458569,0.45708828863090245,0,0.3819611650485437,0.942278214217283,0.40535922330097085,0.3819611650485437,0.942278214217283,0.40535922330097085
48,0.5281822242048764,0.4353425199856096,1,0.08706212759497514,0.9438387163135158,0.09224258985160727,0.22019810998519868,0.9563210812592715,0.2302554176629094
51,0.992680002521005,0.9858897324417667,0,0.4843189824484833,0.987572309452673,0.4904136920534963,0.4843189824484833,0.987572309452673,0.4904136920534963
54,0.28290369329285975,0.20384043623548373,0,0.12789729932170946,0.9540586683222102,0.13405601098581,0.12789729932170946,0.9540586683222102,0.13405601098581
56,0.9373906729564098,0.8875528548382685,0,1.0,0.9493215460526315,1.053383865728208,1.0,0.9493215460526315,1.053383865728208
58,0.942469026054385,0.8775870451734646,0,1.0,0.971379108145087,1.029464183051627,1.0,0.971379108145087,1.029464183051627
59,0.7788931934485793,0.5796386297863215,0,0.420908711963318,0.9130497685185185,0.46099208003334724,0.45192163401417257,0.9160780072329063,0.4933222175906628
60,0.9886571025920284,0.9699660256400674,0,0.6691375968992248,0.9681286071453606,0.6911660206718346,0.6691375968992248,0.9681286071453606,0.6911660206718346
63,0.5255126953116981,-0.06376431501108457,0,0.9467459678110485,0.9986259762800116,0.9480486090876369,1.0,0.9942231007804778,1.0058104656942564
67,0.7557014598702885,0.4901705661111979,0,0.52987307263361,0.9849292530437644,0.5379808458283913,0.52987307263361,0.9849292530437644,0.5379808458283913
69,0.9676052268245172,0.9393616993920572,0,0.48038340084845776,0.9813638288860652,0.4895059168766547,0.9102102006315588,0.9693593314763231,0.9389812127204874
70,0.9863501681226942,0.975130180596846,0,0.4544613599661341,0.9783643298342728,0.464511374860852,1.0,0.9738151948210578,1.0268888854047444
71,0.7480773925769835,-0.07065401950657273,1,0.05376482308705852,0.9486815990927133,0.05667320114406916,0.9462351769129415,0.959416086935271,0.9862615290677121
73,0.9213962084150429,0.845523880541478,0,0.4863689607034547,0.9801138200866585,0.49623722340784004,0.9769259158229169,0.9668572336033031,1.0104138251953596
74,0.7938047356445221,0.6495520658967757,1,0.03897099459825647,0.9208087615838247,0.042322571443852174,0.4228335086374414,0.9691496751522085,0.43629329862906246
76,0.9848683546824545,0.9727197368661904,0,0.45046620046620045,0.97650995254191,0.46130221130221133,1.0,0.971375242874409,1.0294682794682795
