image_id,merged_components,proposal_count,union_ari,union_iou,v2_ari,v2_delta,v2_frag,v2_iou,v2_score,v2_var
1,3,3,-0.014625566064203368,0.8004838610877679,-0.019610584822249737,5.481866359710693,1.0,0.016222415419588573,-0.3876929017571995,0.5335527062416077
101,2,3,0.6480814288971362,0.8452196257130679,0.004612819269160408,2.1507997512817383,1.0,0.021566171242774938,1.6233051501295797,0.5570699572563171
102,2,2,0.8403050997166729,0.9265516963035687,0.7039459645037986,3.346764087677002,9.0,0.8580424661566295,0.3080566545812322,1.0786839723587036
103,3,3,-0.051202845120693036,0.5053982893724501,0.35153963108251135,2.128377914428711,22.0,0.7147562018804218,1.0554013161613875,0.4547850489616394
104,2,2,-0.019021929316500107,0.900521080055469,0.6309044689285838,5.151176452636719,4.0,0.9603293175228705,0.251540289225197,0.6234975457191467
106,2,2,0.015409089033874071,0.8098655677473571,0.8586108022523139,2.575284242630005,4.5,0.9669905331323101,0.07823544051287643,0.8007692098617554
107,3,8,0.013452435989559015,0.4968229313744408,0.273489764786026,1.7570818662643433,8.0,0.5620755458254417,1.6520597811974411,1.4914634227752686
109,3,3,0.3333052303356637,0.6030899762071743,-0.052300824988146796,2.15632963180542,1.0,0.24499529913493776,0.5213508792567729,0.7990263104438782
118,1,1,0.9097098808712438,0.8822926162160175,0.9208323650544092,2.7311267852783203,0.0,0.8965870307065233,1.3478971430698428,3.4007177352905273
12,1,2,0.8005099292315294,0.9001967137210709,0.7658322508639945,3.182952880859375,16.0,0.8845665604082356,0.6844737061778068,1.0334440469741821
121,2,2,0.5441882171131937,0.8020345551410532,0.7987993016250067,4.545764923095703,3.0,0.9130097767086415,0.4312933160724317,0.7578474283218384
122,3,2,0.00041634445004959657,0.4964606909100239,0.8176948513912358,2.9236652851104736,0.0,0.9047257486457367,0.8139564675056721,1.3145344257354736
125,3,2,-0.020012110859948234,0.6524619018934759,0.9011278244571337,3.5162110328674316,1.0,0.9215733707440051,1.0620714156263336,2.134312152862549
128,4,4,0.09770126259314432,0.6753082094645324,0.4510629142216618,2.3803799152374268,0.0,0.4909586989059974,-1.4135094609587169,0.3760581910610199
129,2,3,-0.012715642617631114,0.5661169183111636,0.9327146279369543,2.726909875869751,0.0,0.9572443833067505,0.08685858977376204,1.850366473197937
13,2,4,0.013213024879599872,0.5384417215442084,0.7084688569122056,1.2484731674194336,1.0,0.8319670803200209,0.06387646779070964,0.8041365742683411
134,2,2,0.9057713421347275,0.954939045229136,0.002375608650502428,4.318188190460205,0.0,0.019061441702889658,0.062089195340542136,0.3848714232444763
139,3,4,0.009023151043947911,0.5520968439247537,0.7634181219348213,2.190159320831299,1.0,0.8547423187764369,0.4750612460698421,1.4584673643112183
14,2,2,0.00037498038948409576,0.5291794919619918,0.9580271128834078,2.0059492588043213,0.0,0.9769615805317832,1.1479607517566075,0.7091696858406067
142,1,1,0.9231206652596181,0.8890622561883436,0.9260753562068402,4.988015174865723,0.0,0.8932356608339583,1.540613523156474,2.1873981952667236
149,2,4,0.0028532520389018498,0.5232017445394554,0.7703814858455151,2.7241628170013428,4.0,0.8904472878365856,0.8009318690684066,1.3623253107070923
15,1,3,0.7678414896363202,0.855164268839542,0.7684846359588393,1.6959130764007568,0.0,0.8564773656667385,0.6681152086662372,1.0684248208999634
16,3,4,0.3131255579408968,0.6310106942255507,0.16696028154637912,1.2309257984161377,64.0,0.5071261652230113,-0.3862740520038398,1.3628696203231812
17,3,2,0.6282088283063278,0.818138028845251,-0.0009246668550430508,2.315953016281128,0.0,0.037749793070717304,0.8985104877696254,0.11860200017690659
175,3,2,0.024781786902212395,0.6334444639400318,0.823165694317952,3.5278127193450928,3.0,0.8664757472665721,0.7094001184611075,2.089639902114868
176,3,4,0.4001013751302407,0.8941053309697309,-0.06703178597585664,4.255244731903076,0.0,0.08815870622886288,-1.0462410211463273,0.5441663861274719
178,4,5,-0.008190224745092787,0.5430323110022401,-0.016548537181568502,3.556039810180664,2.0,0.09619467147835635,0.8392455424118648,0.07883469760417938
18,11,13,0.09858135811705387,0.413744925395651,-0.05872462160450368,2.250314712524414,0.0,0.07489915472386659,-1.8653238767015519,0.024741148576140404
180,3,2,0.006667091451352437,0.5246721298373433,0.7348310311203192,2.0529332160949707,1.0,0.8498860828519401,1.0262718605786096,1.0029246807098389
181,3,5,0.07393004595958527,0.5344759419591696,0.9760838831551094,3.5251660346984863,0.0,0.9859325906848545,0.9198311320496548,1.0271049737930298
182,3,2,0.9387710049051013,0.9678305341552979,0.9530178837990009,3.965270757675171,0.0,0.9753948199590164,1.1756764744170562,0.15376856923103333
183,2,2,0.006498726997649846,0.5516048074066631,0.95456153382521,4.039931774139404,0.0,0.9745238014650521,0.8032342266377746,0.13563214242458344
184,3,2,-0.0016573181230695958,0.5109458452358233,0.9484343416176666,2.5911741256713867,0.0,0.9723022164666808,0.8505338862346566,1.2041118144989014
185,3,3,-0.012329876426189641,0.5466465969390356,0.9514090823744789,4.048617839813232,0.0,0.9701951201415446,0.3449611404289246,0.9712846279144287
186,3,6,-0.024722184858387734,0.4946026731086208,0.14647353457535017,1.9223917722702026,1.0,0.4971166679245118,-0.21004833971738143,0.9738247990608215
188,3,4,0.005630936017547721,0.5108283134954041,0.7964745180604955,1.3165472745895386,1.0,0.8935893951719854,0.2159537994769933,0.6333293914794922
189,3,3,-0.04400095684465894,0.8959023273546037,0.37156769350368546,4.5993828773498535,0.5,0.8658740872040173,-0.43376697811089804,0.6462920904159546
194,4,5,0.40388229153584315,0.7212770426364179,0.010902445844218692,3.5534257888793945,1.0,0.1154507343845479,-0.7598689746390996,0.293420672416687
197,2,3,0.014925145518237336,0.5901631606265397,0.91542005924735,3.174584150314331,0.0,0.9639095059531106,0.6031345668227939,0.5779634118080139
2,3,4,-0.006630438767891624,0.5020543468103121,0.8540193065627938,2.149155378341675,39.0,0.9310268290627001,0.41943116555089954,0.46759095788002014
200,3,2,-0.010907435589540585,0.66419039970244,0.9529895609207061,2.7139081954956055,0.0,0.9620272163249848,1.2118791046914374,2.1399619579315186
201,3,4,0.8682361173310525,0.930306526549221,0.23741809370083464,1.4976601600646973,1.0,0.4761919610824279,2.0051606324550306,0.6164499521255493
202,3,2,-0.018563340231482074,0.662011344472387,0.9690856626407195,3.6589436531066895,0.0,0.9757763674193315,0.6826611937887175,1.0023326873779297
205,3,2,0.013638254184463919,0.5556629637250913,0.8938814490575467,3.1645991802215576,0.0,0.9397586299860444,0.5404194502631028,1.4782824516296387
207,2,2,-0.001188538770327246,0.5042996310183189,0.9891043352911328,4.81919002532959,0.0,0.9942928197902235,0.8844179644946498,0.25907790660858154
210,2,2,-0.0018975797567939094,0.5233299974973052,0.9276186953768438,2.759760856628418,0.0,0.9596081184974768,0.629862132085287,0.5710107684135437
213,3,2,-0.0022226239021127174,0.5577918078217465,0.9881285138292231,4.666625022888184,0.0,0.9930853515797557,0.9916785419524781,1.1868001222610474
214,2,4,0.0071284451752461255,0.5454731731912467,0.9253830282191597,1.3851230144500732,0.0,0.9579820597526203,1.1016054452507176,1.1004067659378052
215,3,5,0.018500689424425665,0.5841853262320305,0.8898511381787468,1.4213101863861084,1.0,0.9326214085905611,1.3553596146622493,1.0136994123458862
216,2,10,-0.001416977203090935,0.5174977586785212,0.5927362371928416,1.983540654182434,0.0,0.7839580467652912,2.2396464545755483,1.728424310684204
219,2,2,0.0003128646875570954,0.5283724249185152,0.9752512451645622,2.049382448196411,0.0,0.9865377635497193,1.1941510382328986,0.6781307458877563
22,3,2,-0.00011438716535436638,0.5298367968827579,0.9077862686774758,2.48711895942688,0.0,0.9475593220306863,0.9573734220137209,1.2061558961868286
221,3,2,-0.0010618827309995158,0.5035356102964004,0.9864352249835218,4.998027324676514,0.0,0.9929195110303447,0.7262799867641188,0.5303167700767517
222,3,2,-0.0018136806170208422,0.7378855641097055,0.9627870357241152,5.242392539978027,0.0,0.9643861293285574,1.2129490247220946,1.0957666635513306
224,3,4,0.0004198097383697507,0.5035390537680002,0.9650922415046137,2.7666749954223633,0.0,0.9821588695433593,0.3924870521864246,1.384178876876831
228,3,2,-0.004659348502108927,0.49467233308620556,0.9815304017119233,4.887656211853027,0.0,0.9899825353379577,1.0381410582395638,0.7036001682281494
229,3,2,-0.01757394502034039,0.49527889088404453,0.9914670007420535,5.176388740539551,0.0,0.9949009323973087,1.2279770697340315,0.5035623908042908
236,3,2,-0.0017167192978785881,0.513351920693133,0.974106791249201,3.352149724960327,0.0,0.9860848595418559,0.8594053460493818,0.5563944578170776
237,3,2,0.003200202215580575,0.5154253809019976,0.9003190835578169,3.149399518966675,1.0,0.9473154784328325,0.7546580541463098,1.0509309768676758
238,2,2,0.0032968827758307812,0.5426315377991672,0.9343296550897707,3.2608232498168945,0.0,0.9629177682836318,0.8921909011345361,0.4045986533164978
24,2,2,-0.07681308880601354,0.574526995845909,0.9548487110544254,2.6235387325286865,0.0,0.9467764789147469,0.9754785221718145,3.244758367538452
240,2,3,0.05303567895214614,0.6080242388691655,0.7896682113709116,3.129396677017212,1.5,0.8677607929963772,-0.18784031523903089,1.185570240020752
243,4,6,-0.05455722106349195,0.87817382812366,-0.03028412900423097,1.3037481307983398,24.5,0.42015262164532674,0.09884529318687266,0.3816136121749878
244,2,2,-0.0569279063943287,0.49030704579538925,0.9105587738809587,1.0156586170196533,5.0,0.9193382772337744,0.8701003805627265,1.901391863822937
245,5,6,-0.03409710516001677,0.5933471614034058,0.6376135880813321,4.310211181640625,1.0,0.8457598578024095,2.0060177984475227,0.4623733460903168
246,3,2,0.0003802246983904742,0.5161795245319465,0.9718193871531178,4.162812232971191,0.0,0.9851280903157158,0.5744663622343888,1.1027905941009521
247,3,3,0.002695511082139989,0.5314030763462428,0.5675086968359505,2.5278353691101074,0.0,0.7347823231967471,0.39983261298201794,0.07780337333679199
25,3,3,-0.011251586590868716,0.5847086146691101,0.9658395695669256,2.9698076248168945,0.0,0.977985453972871,0.2040728438756561,0.9685965776443481
250,2,3,0.05273745633201645,0.6910322021877159,0.8639271317788163,1.0176111459732056,12.0,0.8904878048737049,0.5006076892165585,1.7027356624603271
251,3,2,0.0010920848652237343,0.5073098503732741,0.9510527571343622,3.0361640453338623,0.0,0.9748886689727397,0.576645696612685,1.2560441493988037
252,3,3,-0.009374988873404844,0.7898602953567915,-0.09005900823133313,2.005499839782715,0.0,0.11587283756437529,0.27971136030597776,0.7817253470420837
253,3,2,-0.00547951412809206,0.4577890077586191,0.5435822781671439,3.132439374923706,1.0,0.774410862668027,0.4586613471555139,0.44630011916160583
254,3,2,-0.007272097795132613,0.5223201197393456,0.9850390805159858,2.547647714614868,0.0,0.9915753424623576,1.17021125035978,1.5073316097259521
256,3,2,5.507017463437427e-05,0.49701915483284503,0.9817125176798824,4.737791538238525,0.0,0.9908568998481491,0.6499782046951806,0.5294350385665894
257,3,3,-0.015901688412808965,0.5941908329855323,0.9641918432691324,2.86409592628479,0.0,0.9757812499959877,0.38912073035100536,0.4543253779411316
258,3,2,0.012591924678242003,0.5459274295855336,0.8978832730180341,2.332101821899414,0.0,0.9439971313982984,0.8018478079822122,0.35792914032936096
259,2,4,0.045657104230985214,0.7006377430795441,0.9476778727770488,5.323965072631836,0.5,0.9818177905904768,1.4357258712619194,0.22475774586200714
260,3,3,-0.000521048376932421,0.49777023377748975,0.0008834780965522698,9.470280647277832,0.0,0.013839747001866675,0.4747944228777193,0.5516349673271179
261,3,4,0.0022201228912760804,0.5628487290753831,0.8899572343049914,2.5653529167175293,0.0,0.9342133276526357,1.004904578246099,0.22205768525600433
262,7,33,0.04802710691123673,0.5242890548379643,0.11810436681312823,0.6688951849937439,2.0,0.4199320190335284,-1.219610447620323,1.147813320159912
263,11,16,0.5629267562141937,0.8039586877841318,0.0088103757951121,0.9769675135612488,0.0,0.0569644696187662,-1.866221207871638,1.195887804031372
265,2,4,-0.051488835327784414,0.7582550048816555,0.22665527967242366,2.863889217376709,0.0,0.67385999694854,0.986988207327997,0.7041143774986267
