image_id,iou,ari,used_inversion,used_v6_rescue
rwtd_1,0.9011235954983858,0.9115158691874177,0,1
rwtd_2,0.9310268290627001,0.8540193065627938,0,0
rwtd_3,0.4382760389934566,-0.001573356351876662,0,0
rwtd_4,0.963055729485261,0.9665406999834419,0,0
rwtd_5,0.9693730775167201,0.9159396218173528,0,0
rwtd_8,0.48052861665162466,-0.007690073309777964,0,0
rwtd_12,0.8845665604082356,0.7658322508639945,0,0
rwtd_13,0.8319670803200209,0.7084688569122056,0,0
rwtd_14,0.9769615805317832,0.9580271128834078,0,0
rwtd_15,0.8564773656667385,0.7684846359588393,0,0
rwtd_16,0.5071261652230113,0.16696028154637912,0,0
rwtd_17,0.037749793070717304,-0.0009246668550430508,0,0
rwtd_18,0.4089701596461224,0.08339961581815863,0,1
rwtd_22,0.9475593220306863,0.9077862686774758,0,0
rwtd_24,0.9467764789147469,0.9548487110544254,0,0
rwtd_25,0.977985453972871,0.9658395695669256,0,0
rwtd_27,0.906100379722197,0.8649609971857959,0,0
rwtd_28,0.5138341129337068,0.2649160514530143,0,0
rwtd_30,0.9618204133049331,0.9309751106715561,0,0
rwtd_33,0.9567187443343663,0.8298490746787678,0,0
rwtd_34,0.9103807700469891,0.7549367855880682,0,0
rwtd_36,0.984274247875995,0.9448100531115357,0,0
rwtd_38,0.9151829128120035,0.6697699072177301,0,0
rwtd_39,0.5896608839656976,0.4917503863521102,0,0
rwtd_40,0.9296270718167843,0.9313373955484379,0,0
rwtd_41,0.7838842624048609,0.47303684886447495,0,0
rwtd_44,0.04833365815614781,0.007870577219940932,0,0
rwtd_45,0.9878580836311003,0.9819892365249264,0,0
rwtd_47,0.6626394938458569,0.45708828863090245,0,0
rwtd_48,0.2119017632232282,0.1510150468482746,0,0
rwtd_51,0.992680002521005,0.9858897324417667,0,0
rwtd_54,0.28290369329285975,0.20384043623548373,0,0
rwtd_56,0.9373906729564098,0.8875528548382685,0,0
rwtd_58,0.942469026054385,0.8775870451734646,0,0
rwtd_59,0.7788931934485793,0.5796386297863215,0,0
rwtd_60,0.9886571025920284,0.9699660256400674,0,0
rwtd_63,0.5255126953116981,-0.06376431501108457,0,0
rwtd_67,0.7557014598702885,0.4901705661111979,0,0
rwtd_69,0.9676052268245172,0.9393616993920572,0,0
rwtd_70,0.9863501681226942,0.975130180596846,0,0
rwtd_71,0.0663181843821027,-0.06292204231030749,0,0
rwtd_73,0.9213962084150429,0.845523880541478,0,0
rwtd_74,0.07700291923426207,0.01434806244594485,0,0
rwtd_76,0.9848683546824545,0.9727197368661904,0,0
rwtd_77,0.816177368162817,-0.006777086810903126,0,0
rwtd_78,0.6313781738271615,-0.015620070560634225,0,0
rwtd_79,0.9724637681141352,0.8962950961822824,0,0
rwtd_84,0.9582091113526905,0.9048045821217082,0,0
rwtd_85,0.9471053416855151,0.9151813217203446,0,0
rwtd_86,0.931614725451358,0.8327735314600846,0,0
rwtd_88,0.9044157628111369,0.8065290908886418,0,0
rwtd_91,0.9506644174111377,0.9008409236682487,0,0
rwtd_93,0.6497099738189782,0.33923676447748546,0,0
rwtd_95,0.9745656972806905,0.9520644374886347,0,0
rwtd_96,0.9733280541322679,0.9552520141063298,0,0
rwtd_101,0.021566171242774938,0.004612819269160408,0,0
rwtd_102,0.8580424661566295,0.7039459645037986,0,0
rwtd_103,0.7147562018804218,0.35153963108251135,0,0
rwtd_104,0.9603293175228705,0.6309044689285838,0,0
rwtd_106,0.9669905331323101,0.8586108022523139,0,0
rwtd_107,0.5620755458254417,0.273489764786026,0,0
rwtd_109,0.24499529913493776,-0.052300824988146796,0,0
rwtd_118,0.8965870307065233,0.9208323650544092,0,0
rwtd_121,0.9130097767086415,0.7987993016250067,0,0
rwtd_122,0.9047257486457367,0.8176948513912358,0,0
rwtd_125,0.9215733707440051,0.9011278244571337,0,0
rwtd_128,0.4909586989059974,0.4510629142216618,0,0
rwtd_129,0.9572443833067505,0.9327146279369543,0,0
rwtd_134,0.019061441702889658,0.002375608650502428,0,0
rwtd_139,0.8547423187764369,0.7634181219348213,0,0
rwtd_142,0.8932356608339583,0.9260753562068402,0,0
rwtd_149,0.8904472878365856,0.7703814858455151,0,0
rwtd_175,0.8664757472665721,0.823165694317952,0,0
rwtd_176,0.08815870622886288,-0.06703178597585664,0,0
rwtd_178,0.09619467147835635,-0.016548537181568502,0,0
rwtd_180,0.8498860828519401,0.7348310311203192,0,0
rwtd_181,0.9859325906848545,0.9760838831551094,0,0
rwtd_182,0.9753948199590164,0.9530178837990009,0,0
rwtd_183,0.9745238014650521,0.95456153382521,0,0
rwtd_184,0.9723022164666808,0.9484343416176666,0,0
rwtd_185,0.9701951201415446,0.9514090823744789,0,0
rwtd_186,0.4971166679245118,0.14647353457535017,0,0
rwtd_188,0.8935893951719854,0.7964745180604955,0,0
rwtd_189,0.8658740872040173,0.37156769350368546,0,0
rwtd_194,0.7286432160787224,0.41054112794570025,0,1
rwtd_197,0.9639095059531106,0.91542005924735,0,0
rwtd_200,0.9620272163249848,0.9529895609207061,0,0
rwtd_201,0.4761919610824279,0.23741809370083464,0,0
rwtd_202,0.9757763674193315,0.9690856626407195,0,0
rwtd_205,0.9397586299860444,0.8938814490575467,0,0
rwtd_207,0.9942928197902235,0.9891043352911328,0,0
rwtd_210,0.9596081184974768,0.9276186953768438,0,0
rwtd_213,0.9930853515797557,0.9881285138292231,0,0
rwtd_214,0.9579820597526203,0.9253830282191597,0,0
rwtd_215,0.9326214085905611,0.8898511381787468,0,0
rwtd_216,0.7839580467652912,0.5927362371928416,0,0
rwtd_219,0.9865377635497193,0.9752512451645622,0,0
rwtd_221,0.9929195110303447,0.9864352249835218,0,0
rwtd_222,0.9643861293285574,0.9627870357241152,0,0
rwtd_224,0.9821588695433593,0.9650922415046137,0,0
rwtd_228,0.9899825353379577,0.9815304017119233,0,0
rwtd_229,0.9949009323973087,0.9914670007420535,0,0
rwtd_236,0.9860848595418559,0.974106791249201,0,0
rwtd_237,0.9473154784328325,0.9003190835578169,0,0
rwtd_238,0.9629177682836318,0.9343296550897707,0,0
rwtd_240,0.8677607929963772,0.7896682113709116,0,0
rwtd_243,0.42015262164532674,-0.03028412900423097,0,0
rwtd_244,0.9193382772337744,0.9105587738809587,0,0
rwtd_245,0.8457598578024095,0.6376135880813321,0,0
rwtd_246,0.9851280903157158,0.9718193871531178,0,0
rwtd_247,0.7347823231967471,0.5675086968359505,0,0
rwtd_250,0.8904878048737049,0.8639271317788163,0,0
rwtd_251,0.9748886689727397,0.9510527571343622,0,0
rwtd_252,0.11587283756437529,-0.09005900823133313,0,0
rwtd_253,0.774410862668027,0.5435822781671439,0,0
rwtd_254,0.9915753424623576,0.9850390805159858,0,0
rwtd_256,0.9908568998481491,0.9817125176798824,0,0
rwtd_257,0.9757812499959877,0.9641918432691324,0,0
rwtd_258,0.9439971313982984,0.8978832730180341,0,0
rwtd_259,0.9818177905904768,0.9476778727770488,0,0
rwtd_260,0.013839747001866675,0.0008834780965522698,0,0
rwtd_261,0.9342133276526357,0.8899572343049914,0,0
rwtd_262,0.4199320190335284,0.11810436681312823,0,0
rwtd_263,0.8117457381966195,0.573999207363395,0,1
rwtd_265,0.67385999694854,0.22665527967242366,0,0
rwtd_268,0.11469288692477847,0.017059167569013548,0,0
rwtd_269,0.8005996137080902,0.6223430685236865,0,0
rwtd_270,0.3657166669679747,-0.06917264029045958,0,0
rwtd_274,0.9382105954282123,0.893802270874048,0,0
rwtd_276,0.6623992919911768,-0.00816996637595827,0,0
rwtd_280,0.9495589072248521,0.9152642985864917,0,0
rwtd_281,0.9597100692145758,0.9260960020327894,0,0
rwtd_282,0.9706463631914121,0.9454644202762301,0,0
rwtd_288,0.9837453229406627,0.9827559444705293,0,0
rwtd_293,0.9858045798260718,0.9888645257101757,0,0
rwtd_294,0.9875930521057296,0.9784430017213144,0,0
rwtd_299,0.8227674190359658,0.6513987881358431,0,1
rwtd_300,0.9957343707309727,0.9923840224967222,0,0
rwtd_302,0.9860800650240937,0.9750684634235883,0,0
rwtd_303,0.9752610854264028,0.964763022030058,0,0
rwtd_304,0.7168579101551562,-0.0006090239710809179,0,0
rwtd_308,0.12132248335491697,-0.0907994927830405,0,0
rwtd_310,0.8880128720693804,0.9230116595133606,0,0
rwtd_311,0.8654357459251782,0.9047246043307782,0,0
rwtd_315,0.9414993995378024,0.9610484737299039,0,0
rwtd_318,0.9890456594140916,0.9627979400684947,0,0
