image_id,baseline_iou,baseline_ari,strict_handcrafted_iou,strict_handcrafted_ari,strict_ptd_heur_iou,strict_ptd_heur_ari,strict_ptd_learned_iou,strict_ptd_learned_ari,delta_ptd_learned_iou_vs_baseline,delta_ptd_learned_ari_vs_baseline,delta_ptd_learned_iou_vs_handcrafted,delta_ptd_learned_ari_vs_handcrafted
rwtd_1,0.9279993461839816,0.9362596918376475,0.7896994397875323,-0.043894673777160116,0.7896994397875323,-0.043894673777160116,0.7896994397875323,-0.043894673777160116,-0.1382999063964493,-0.9801543656148076,0.0,0.0
rwtd_2,0.28830904777943644,0.1241388335058749,0.6262585801929497,0.1361652379657257,0.6262585801929497,0.1361652379657257,0.9472984942400706,0.8871611126416824,0.6589894464606342,0.7630222791358074,0.32103991404712096,0.7509958746759567
rwtd_3,0.4374944763578491,0.04704423398836296,0.6774965118579891,0.3650889872284517,0.6774965118579891,0.3650889872284517,0.5961480964705099,0.2526696073397357,0.15865362011266082,0.20562537335137274,-0.08134841538747917,-0.11241937988871598
rwtd_4,0.5555284168095691,-0.0885980911008304,0.4758981697654745,0.3215623622304112,0.4758981697654745,0.3215623622304112,0.9685398469431201,0.9713026918377264,0.413011430133551,1.059900782938557,0.4926416771776456,0.6497403296073152
rwtd_5,0.44399111022508375,0.22910843755477633,0.49596515947136094,0.023501050032753417,0.49596515947136094,0.023501050032753417,0.4570686019690233,0.39402656191075075,0.013077491743939573,0.16491812435597442,-0.038896557502337614,0.3705255118779973
rwtd_8,0.07877556548807049,-0.011529376049273479,0.8858640458611438,0.7986111634318228,0.8858640458611438,0.7986111634318228,0.8858640458611438,0.7986111634318228,0.8070884803730732,0.8101405394810963,0.0,0.0
rwtd_12,0.6579901433165525,0.3987515907432396,0.6035255565169997,0.12733599132701282,0.6035255565169997,0.12733599132701282,0.9159458278697656,0.8316065782961762,0.25795568455321316,0.4328549875529366,0.31242027135276595,0.7042705869691634
rwtd_13,0.8754431195588932,0.7779874936243742,0.5654159124625908,0.03237230012958561,0.5654159124625908,0.03237230012958561,0.8848990633670599,0.7436376827953883,0.009455943808166722,-0.034349810828985916,0.3194831509044691,0.7112653826658027
rwtd_14,0.22692052980057312,0.07903441157905758,0.5266375003870324,-0.0006411851652733326,0.5266375003870324,-0.0006411851652733326,0.5266375003870324,-0.0006411851652733326,0.2997169705864593,-0.07967559674433092,0.0,0.0
rwtd_15,0.5033260447776426,-0.0211691376961114,0.6318490867873753,0.085011100423027,0.6318490867873753,0.085011100423027,0.4022630315951169,-0.025587710527671174,-0.10106301318252575,-0.004418572831559775,-0.2295860551922584,-0.11059881095069816
