image_id,iou,iou_inv,iou_inv_robust,used_inversion,pred_fg_ratio,gt_fg_ratio,agg_iou,agg_iou_inv,agg_iou_inv_robust,agg_used_inversion,agg_num_segments
rwtd_1,0.9240937474649873,0.013077487166949849,0.9240937474649873,0,0.1869354248046875,0.1750946044921875,0.9522636541230338,0.9896548550389344,0.9896548550389344,1,2
rwtd_101,0.14524554293724745,0.7529455080999625,0.7529455080999625,1,0.6118927001953125,0.522186279296875,0.7888411518808672,0.8103852770969162,0.8103852770969162,1,2
rwtd_102,0.859634018439826,0.13039000169096088,0.859634018439826,0,0.967376708984375,0.8453521728515625,0.8622041850746838,0.4700691471844122,0.8622041850746838,0,1
rwtd_103,0.0,0.03741896835753677,0.03741896835753677,1,0.0266876220703125,0.2867889404296875,0.29465251540277887,0.7132110595702037,0.7132110595702037,1,2
rwtd_104,0.041155558402453135,0.913569312524675,0.913569312524675,1,0.95208740234375,0.03997802734375,0.3306306306302051,0.9600219726561036,0.9600219726561036,1,3
rwtd_106,0.0,0.06704429712487411,0.06704429712487411,1,0.0572509765625,0.1460723876953125,0.15494302732096418,0.8539276123045573,0.8539276123045573,1,2
rwtd_107,0.3588390035486028,0.4182527673806606,0.4182527673806606,1,0.6306915283203125,0.5437164306640625,0.5619420616169214,0.4566014378897528,0.5619420616169214,0,5
rwtd_109,0.5592063153401539,0.24109202966996904,0.5592063153401539,0,0.5575103759765625,0.3345794677734375,0.6588390671303122,0.7905548996456652,0.7905548996456652,1,3
rwtd_118,0.9055187637959099,0.0049690014307024345,0.9055187637959099,0,0.1301116943359375,0.1333160400390625,0.9055187637959099,0.9850694202189031,0.9850694202189031,1,1
rwtd_12,0.8050070109836397,0.001069173851062204,0.8050070109836397,0,0.42144775390625,0.5213775634765625,0.8050070109836397,0.8242449774873419,0.8242449774873419,1,1
rwtd_121,0.8497986369267582,0.11016381947983966,0.8497986369267582,0,0.942626953125,0.8796234130859375,0.8796234130858033,0.3864660773866496,0.8796234130858033,0,5
rwtd_122,0.601251827142798,0.3158870992672712,0.601251827142798,0,0.8013916015625,0.502410888671875,0.601251827142798,0.4975891113280491,0.601251827142798,0,1
rwtd_125,0.33989336412410176,0.5927255507010796,0.5927255507010796,1,0.897491455078125,0.3065643310546875,0.40215883121114876,0.6934356689452067,0.6934356689452067,1,6
rwtd_128,0.7548352651429043,0.1794465770953008,0.7548352651429043,0,0.8399505615234375,0.71478271484375,0.9344732370431321,0.856784736084278,0.9344732370431321,0,3
