sample_id,image_path,mask_path,gt_num_regions,gt_num_regions_raw,gt_decode_warning,gt_decode_warning_text,edge_precision,edge_recall,edge_f1,edge_pred_density
rwtd_178,/home/galoren/rwtd_miner_public_site/review/originals/rwtd_178.jpg,/home/galoren/rwtd_miner_public_site/review/masks/rwtd_178.jpg,2,2,False,,0.1744756804997768,0.924037812288994,0.2935278030993619,0.2393646240234375
rwtd_18,/home/galoren/rwtd_miner_public_site/review/originals/rwtd_18.jpg,/home/galoren/rwtd_miner_public_site/review/masks/rwtd_18.jpg,2,2,False,,0.1459699012094912,0.9272727272727272,0.2522335673261008,0.330535888671875
rwtd_180,/home/galoren/rwtd_miner_public_site/review/originals/rwtd_180.jpg,/home/galoren/rwtd_miner_public_site/review/masks/rwtd_180.jpg,2,2,False,,0.1318790831580113,0.3160828025477707,0.1861082897101336,0.1378021240234375
rwtd_181,/home/galoren/rwtd_miner_public_site/review/originals/rwtd_181.jpg,/home/galoren/rwtd_miner_public_site/review/masks/rwtd_181.jpg,1,1,True,single_region_after_edge_decode,0.1112750263435194,0.98050139275766,0.1998675120658654,0.144805908203125
rwtd_182,/home/galoren/rwtd_miner_public_site/review/originals/rwtd_182.jpg,/home/galoren/rwtd_miner_public_site/review/masks/rwtd_182.jpg,2,2,False,,0.181804906542056,0.5664240218380345,0.2752597833296484,0.1044921875
rwtd_183,/home/galoren/rwtd_miner_public_site/review/originals/rwtd_183.jpg,/home/galoren/rwtd_miner_public_site/review/masks/rwtd_183.jpg,2,2,False,,0.223906083244397,0.9382826475849732,0.3615371359641565,0.142974853515625
rwtd_184,/home/galoren/rwtd_miner_public_site/review/originals/rwtd_184.jpg,/home/galoren/rwtd_miner_public_site/review/masks/rwtd_184.jpg,1,1,True,single_region_after_edge_decode,0.0983981693363844,0.9056776556776556,0.1775105447366059,0.1533660888671875
rwtd_185,/home/galoren/rwtd_miner_public_site/review/originals/rwtd_185.jpg,/home/galoren/rwtd_miner_public_site/review/masks/rwtd_185.jpg,2,2,False,,0.1401839264294282,0.9647771051183268,0.244798212540148,0.1908111572265625
rwtd_186,/home/galoren/rwtd_miner_public_site/review/originals/rwtd_186.jpg,/home/galoren/rwtd_miner_public_site/review/masks/rwtd_186.jpg,2,2,False,,0.0621344409595659,0.2748406449193851,0.1013550884955752,0.1800079345703125
rwtd_188,/home/galoren/rwtd_miner_public_site/review/originals/rwtd_188.jpg,/home/galoren/rwtd_miner_public_site/review/masks/rwtd_188.jpg,2,2,False,,0.1792807300053676,0.4713076199435559,0.2597537265068049,0.0852813720703125
rwtd_189,/home/galoren/rwtd_miner_public_site/review/originals/rwtd_189.jpg,/home/galoren/rwtd_miner_public_site/review/masks/rwtd_189.jpg,2,2,False,,0.1450032658393207,0.7115384615384616,0.2409115572436245,0.1168060302734375
rwtd_194,/home/galoren/rwtd_miner_public_site/review/originals/rwtd_194.jpg,/home/galoren/rwtd_miner_public_site/review/masks/rwtd_194.jpg,2,2,False,,0.1436141617387297,0.9634209170530654,0.2499665820077529,0.1986846923828125
rwtd_197,/home/galoren/rwtd_miner_public_site/review/originals/rwtd_197.jpg,/home/galoren/rwtd_miner_public_site/review/masks/rwtd_197.jpg,2,2,False,,0.1669025296302848,0.5259197324414716,0.2533906270981603,0.172515869140625
rwtd_2,/home/galoren/rwtd_miner_public_site/review/originals/rwtd_2.jpg,/home/galoren/rwtd_miner_public_site/review/masks/rwtd_2.jpg,2,2,False,,0.0230635335073977,0.2502951593860685,0.0422352823986452,0.280517578125
rwtd_200,/home/galoren/rwtd_miner_public_site/review/originals/rwtd_200.jpg,/home/galoren/rwtd_miner_public_site/review/masks/rwtd_200.jpg,2,2,False,,0.1685428674351585,0.9634491634491634,0.28689686889204,0.3388671875
rwtd_201,/home/galoren/rwtd_miner_public_site/review/originals/rwtd_201.jpg,/home/galoren/rwtd_miner_public_site/review/masks/rwtd_201.jpg,2,2,False,,0.122436405246017,0.735200845665962,0.2099147362861239,0.1733551025390625
rwtd_202,/home/galoren/rwtd_miner_public_site/review/originals/rwtd_202.jpg,/home/galoren/rwtd_miner_public_site/review/masks/rwtd_202.jpg,2,2,False,,0.1994635798983625,0.8746518105849582,0.3248462555319271,0.2161865234375
