image_id,iou,iou_inv,iou_inv_robust,used_inversion,pred_fg_ratio,gt_fg_ratio,agg_iou,agg_iou_inv,agg_iou_inv_robust,agg_used_inversion,agg_num_segments
rwtd_1,0.8115852241920455,0.022280410901593984,0.8115852241920455,0,0.181854248046875,0.1750946044921875,0.8115852241920455,0.9558086312116835,0.9558086312116835,1,1
rwtd_101,0.06989765763522726,0.8398123324394439,0.8398123324394439,1,0.527435302734375,0.522186279296875,0.8382585156776342,0.8398123324394439,0.8398123324394439,1,1
rwtd_102,0.24820188110895552,0.3677762982688348,0.3677762982688348,1,0.3939361572265625,0.8453521728515625,0.8453521728514335,0.3677762982688348,0.8453521728514335,0,2
rwtd_103,0.01174903295186239,0.9164788406039399,0.9164788406039399,1,0.675048828125,0.2867889404296875,0.8200018158703377,0.9164788406039399,0.9164788406039399,1,1
rwtd_104,0.3026208503199736,0.09104924138350719,0.3026208503199736,0,0.1306610107421875,0.03997802734375,0.3026208503199736,0.9600219726561036,0.9600219726561036,1,2
rwtd_106,0.008580371938866294,0.31286924336246125,0.31286924336246125,1,0.2718353271484375,0.1460723876953125,0.7241634465175333,0.9408581300238082,0.9408581300238082,1,2
rwtd_107,0.3104039167685814,0.027399249667184464,0.3104039167685814,0,0.19140625,0.5437164306640625,0.9102113585858844,0.8853475865251623,0.9102113585858844,0,2
rwtd_109,0.018829144240647466,0.7940031326916998,0.7940031326916998,1,0.5579376220703125,0.3345794677734375,0.6936643151867783,0.7940031326916998,0.7940031326916998,1,1
rwtd_118,0.013788155288316912,0.9600055475615069,0.9600055475615069,1,0.85845947265625,0.1333160400390625,0.7729330708653809,0.9600055475615069,0.9600055475615069,1,1
rwtd_12,0.0361235064319397,0.8044196920508669,0.8044196920508669,1,0.44586181640625,0.5213775634765625,0.8295436847840862,0.8044196920508669,0.8295436847840862,0,1
rwtd_121,0.24950269086643595,0.29922306701553897,0.29922306701553897,1,0.356781005859375,0.8796234130859375,0.8796234130858033,0.29922306701553897,0.8796234130858033,0,2
rwtd_122,0.07125145639767239,0.015630804400624195,0.07125145639767239,0,0.04473876953125,0.502410888671875,0.9647556111207464,0.9642576827866437,0.9647556111207464,0,2
rwtd_125,0.1669496046950735,0.010759506617298922,0.1669496046950735,0,0.060546875,0.3065643310546875,0.9515621215786139,0.9782092349260252,0.9782092349260252,1,2
rwtd_128,0.8529599968973158,0.07541480536054955,0.8529599968973158,0,0.7433319091796875,0.71478271484375,0.8529599968973158,0.6480879896043029,0.8529599968973158,0,1
rwtd_129,0.14884680835651223,0.03793063980770564,0.14884680835651223,0,0.0880126953125,0.396148681640625,0.865998515218713,0.9004087979332129,0.9004087979332129,1,1
rwtd_13,0.8392609322700375,0.033643951057445325,0.8392609322700375,0,0.502288818359375,0.5290679931640625,0.8392609322700375,0.8297400126820691,0.8392609322700375,0,1
