image_id,iou,iou_inv,iou_inv_robust,used_inversion,dice,dice_inv,dice_inv_robust,boundary_precision,boundary_recall,boundary_f1,ari,pred_fg_ratio,gt_fg_ratio,oracle_agg_iou,oracle_agg_iou_inv,oracle_agg_iou_inv_robust,oracle_agg_used_inversion,oracle_agg_num_segments,agg_iou,agg_iou_inv,agg_iou_inv_robust,agg_used_inversion,agg_num_segments
rwtd_1,0.01957636135022351,0.7303034154666116,0.7303034154666116,1,0.03840097140796509,0.844133357119532,0.844133357119532,0.07029876977137456,0.5576470588104083,0.12485759055123175,0.27857512306464816,0.629150390625,0.1750946044921875,0.41329593932674463,0.8249053955076867,0.8249053955076867,1,2,0.41329593932674463,0.8249053955076867,0.8249053955076867,1,2
rwtd_101,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522186279296875,0.5221862792967954,0.4778137207030521,0.5221862792967954,0,1,0.5221862792967954,0.4778137207030521,0.5221862792967954,0,1
rwtd_102,0.5794820751316128,0.06537287595096684,0.5794820751316128,0,0.7337621417239908,0.12272299666464494,0.7337621417239908,0.024253731343132752,0.10187667560048588,0.0391799152023763,0.05732639347533926,0.5590362548828125,0.8453521728515625,0.8453521728514335,0.22868204853781085,0.8453521728514335,0,2,0.8453521728514335,0.22868204853781085,0.8453521728514335,0,2
rwtd_103,0.0008743296805780535,0.6983499337407134,0.6983499337407134,1,0.0017471317919745023,0.8223863879483982,0.8223863879483982,0.22658610271218774,0.12038523274285096,0.15723269986764338,0.3240999368199194,0.499237060546875,0.2867889404296875,0.5705504670904755,0.7132110595702037,0.7132110595702037,1,2,0.5705504670904755,0.7132110595702037,0.7132110595702037,1,2
rwtd_104,0.02634636520646056,0.4583954199669895,0.4583954199669895,1,0.05134010525025966,0.6286298128629138,0.6286298128629138,0.04907975459972148,0.026515151514649334,0.034429752591947936,-0.002891664698297077,0.458740234375,0.03997802734375,0.04904849770040785,0.9600219726561036,0.9600219726561036,1,2,0.04904849770040785,0.9600219726561036,0.9600219726561036,1,2
rwtd_106,0.006384643901633978,0.6927123131873736,0.6927123131873736,1,0.012688277668628707,0.8184643164590654,0.8184643164590654,0.2162977867181459,0.5219638242759183,0.305852604895814,0.20731277733572917,0.5995330810546875,0.1460723876953125,0.34882319713788407,0.8539276123045573,0.8539276123045573,1,2,0.34882319713788407,0.8539276123045573,0.8539276123045573,1,2
rwtd_107,0.31305435079898547,0.33864611230859004,0.33864611230859004,1,0.47683380449330803,0.5059531554976405,0.5059531554976405,0.23684906159070354,0.3795771015968047,0.2916893675998253,0.00531254221008797,0.4818267822265625,0.5437164306640625,0.5437164306639796,0.4562835693358679,0.5437164306639796,0,2,0.5437164306639796,0.4562835693358679,0.5437164306639796,0,2
rwtd_109,0.25769167714075697,0.276602564102512,0.276602564102512,1,0.4097851354579918,0.43334170223443264,0.43334170223443264,0.01791044776065939,0.004268943436453907,0.006894567417065231,0.02171503562486445,0.367767333984375,0.3345794677734375,0.3345794677733865,0.665420532226461,0.665420532226461,1,2,0.3345794677733865,0.665420532226461,0.665420532226461,1,2
rwtd_118,0.04665506879643893,0.2855344176339217,0.2855344176339217,1,0.08915080084614341,0.4442267958246647,0.4442267958246647,0.08450704225233088,0.08064516128923864,0.0825309441075138,-0.04896504269177927,0.2706146240234375,0.1333160400390625,0.15428431432593165,0.8666839599608053,0.8666839599608053,1,2,0.15428431432593165,0.8666839599608053,0.8666839599608053,1,2
rwtd_12,0.018363642257444593,0.8470461538458932,0.8470461538458932,1,0.036064999761258605,0.9171900248211836,0.9171900248211836,0.2615384615304142,0.16666666666323732,0.20359280961169798,0.719595750323119,0.437347412109375,0.5213775634765625,0.8692083037332942,0.8470461538458932,0.8692083037332942,0,1,0.8692083037332942,0.8470461538458932,0.8692083037332942,0,1
