baseline_ari,baseline_iou,image_id,merged_components,proposal_count,union_ari,union_iou,v2_ari,v2_delta,v2_frag,v2_iou,v2_score,v2_var
0.836325054221867,0.8802104263293018,0,2,2,0.019361838239655108,0.6258453297614652,0.8477868773695852,3.2623400688171387,0.0,0.8889335281194707,0.754589855670929,0.8838987350463867
0.9359951772981693,0.9678625108753899,1,3,4,0.0004433688135348372,0.5008648128621714,0.006745508944988299,4.325578689575195,0.0,0.07206513813482933,0.31318995356559753,0.03671957179903984
0.7607940451060833,0.8897903145226548,10,3,3,0.017602647218684826,0.5607487237641869,0.7732446257114378,3.274489641189575,0.0,0.8658566025519766,0.5892876386642456,1.4248493909835815
0.06181362016510394,0.4214463255629568,100,4,10,0.03888253961244811,0.6195614936612484,0.05688163087551071,1.9891471862792969,0.0,0.4144084910524247,0.3719295859336853,0.8294818997383118
0.0762899068163642,0.22958313962320173,101,6,8,0.16366399686707403,0.5936635033580779,0.09003135780403115,2.1355576515197754,0.0,0.3461538461514981,0.3380829393863678,0.9390571713447571
0.45321346220589337,0.7988774380041694,102,4,7,0.09324201583332667,0.7754659002296624,0.6503914426433206,2.49519419670105,0.0,0.6325090807443943,0.4847707152366638,0.8997595310211182
0.7929426320850418,0.9079579959485452,103,3,4,0.07861734012126542,0.6195573706234772,0.6379746492315693,3.5311672687530518,0.5,0.7612776060531233,0.5402033925056458,1.5137100219726562
0.5468708331649406,0.7814742842316842,104,4,5,-0.01790322007765763,0.5325319025057313,-0.008345112062795887,4.036837577819824,0.0,0.02406451780197582,0.24463051557540894,1.1369990110397339
0.784851207125243,0.9233813109924482,105,5,5,0.37856546947575564,0.7962693357591778,0.21655463500347039,2.6424381732940674,0.0,0.23857335880296657,0.2638717293739319,1.1364773511886597
0.38204698369092654,0.6157716010525985,106,4,7,0.0017786352733037024,0.48608079518960984,0.06491054140862712,3.6916117668151855,0.0,0.2939469320048925,0.6205753684043884,0.4218810498714447
0.2472496402078121,0.5779838832276784,107,6,6,0.013409488922482778,0.5738434163690205,-0.023359137273077275,5.086740016937256,0.0,0.10996835443004513,0.10890614241361618,0.6057148575782776
0.7835792913977337,0.8331886102955367,108,2,2,0.24522443056900242,0.5262153670373879,0.80002789794716,3.3773934841156006,0.5,0.8461580302410593,0.6441749930381775,0.6872983574867249
-0.004994873817294361,0.21326830830389198,109,2,3,-0.001499851189940686,0.4388855901952493,-0.0048218047571467575,1.746396780014038,0.0,0.22898639678150856,0.5922084450721741,0.24215535819530487
0.9128073259159118,0.931146452157001,11,2,5,0.0328565895435164,0.684309027404446,0.9793430349473432,5.310305118560791,0.0,0.9925514326117838,0.5330042839050293,0.1914880871772766
0.7567673104219944,0.8664116052879196,110,4,4,0.00023435035868034674,0.48659422268201113,0.06808943132909615,5.476017951965332,0.0,0.2805363714257169,0.31129318475723267,1.081319808959961
0.8392163534381668,0.9068844964306381,111,6,7,0.003324552678982568,0.4743967452284147,-0.00976696961626029,2.0072872638702393,0.0,0.0851690294433742,0.3810552656650543,1.0711973905563354
0.8965940415426744,0.9562964498239531,112,2,2,0.02788350180216816,0.6061863022943257,0.8659384834148149,3.1970040798187256,0.0,0.9122046884935135,0.7074068188667297,0.9759465456008911
0.7085663523952404,0.8280815751327824,113,3,3,-0.009507917682318913,0.5381799546076979,0.7113704800127921,3.0400075912475586,0.0,0.8301945768507064,0.5495783686637878,0.16402769088745117
0.7344975243471016,0.8665254693607592,114,4,7,0.151816832482739,0.6315399699110701,-0.0008585810953986045,1.0946155786514282,0.0,0.09036281330531977,0.8620067834854126,1.053466558456421
0.8189149494783885,0.9254504890992776,115,3,3,0.03372763000240734,0.6240211857621075,0.801672712423393,3.6700096130371094,0.0,0.8609225005803036,0.5566371083259583,0.31992393732070923
0.935050276492274,0.9703898595793669,116,3,3,0.02522470997658859,0.570761933250228,0.22840342634310984,4.003466606140137,0.0,0.416185604675893,0.563368022441864,0.7753402590751648
0.030763681437515292,0.5318286402965601,117,2,2,1.1906172204565551e-05,0.4869949083235421,0.03158597588240235,8.669881820678711,0.0,0.16539328043801843,0.7744348645210266,2.9747865200042725
0.05331177693589695,0.3572205755436265,118,5,5,0.035801633190455893,0.5561951074267946,0.08656582051593588,2.459202527999878,0.0,0.21659195083757318,0.04075262323021889,1.5749166011810303
0.9123040645268434,0.9563980249313214,119,3,4,0.0383440894885485,0.5503924495567468,0.5408615846157476,4.5260009765625,1.0,0.7313576361506131,0.4728506803512573,0.8661216497421265
0.8275010256000761,0.8725698126531061,12,2,3,0.03749158465463253,0.6409625322993275,0.8404714747634586,2.7139856815338135,0.0,0.8825203252016922,0.5379521250724792,1.053244948387146
0.921722597179779,0.9612903225770603,120,2,2,0.0027947664117998258,0.5119258038239789,0.9566204277344789,5.352724075317383,0.0,0.9787464111227907,0.693914532661438,0.1704198271036148
0.9346046690348642,0.9673927123998673,121,2,4,0.0018183774966573215,0.5082247549088581,0.9236362219834499,5.215089797973633,2.5,0.9604807047774007,0.5373702645301819,0.602362871170044
