image_id,valid_fraction,overlap_fraction,void_fraction,TextureSAM_0p3_mode,TextureSAM_0p3_present,TextureSAM_0p3_mask_count,TextureSAM_0p3_direct_miou,TextureSAM_0p3_direct_ari,TextureSAM_0p3_invariant_miou,TextureSAM_0p3_invariant_ari,ArchiTexture_small_pre_ring_hi_0p3_mode,ArchiTexture_small_pre_ring_hi_0p3_present,ArchiTexture_small_pre_ring_hi_0p3_mask_count,ArchiTexture_small_pre_ring_hi_0p3_direct_miou,ArchiTexture_small_pre_ring_hi_0p3_direct_ari,ArchiTexture_small_pre_ring_hi_0p3_invariant_miou,ArchiTexture_small_pre_ring_hi_0p3_invariant_ari
0,1.0,0.0,0.0,mask_bank,True,9,0.14868469428203704,0.10701492166822757,0.23531794236930084,0.10701492166822757,single_mask,True,1,0.3322700280355722,0.10802036823120843,0.3322700280355722,0.10802036823120843
1,1.0,0.0,0.0,mask_bank,True,3,0.26829628808047984,0.43756487988686327,0.573747446184616,0.43756487988686327,single_mask,True,1,0.0012737322758921564,0.8966874288354468,0.9363999325145566,0.8966874288354468
2,1.0,0.0,0.0,mask_bank,True,4,0.47842305301899035,0.7042268746688345,0.4924894947900362,0.3590757072018172,single_mask,True,1,0.0011175496688695466,0.532415443361973,0.7429973420517754,0.532415443361973
3,1.0,0.0,0.0,mask_bank,True,3,0.4946011891224621,0.44954595610298087,0.6548464212316838,0.6111507413892169,single_mask,True,1,0.9481260265762337,0.9314515635672529,0.9481260265762337,0.9314515635672529
4,1.0,0.0,0.0,mask_bank,True,3,0.4445403072419065,0.5452683497359443,0.6061369281335304,0.4209677418382502,single_mask,True,1,0.0,0.18376750525497768,0.4033461629062654,0.18376750525497768
5,1.0,0.0,0.0,mask_bank,True,4,0.10299868043186405,0.18104923753489455,0.422083466924789,0.16532156622694205,single_mask,True,1,0.0,0.37774161890273683,0.720542686961323,0.37774161890273683
6,1.0,0.0,0.0,mask_bank,True,6,0.1557641620062011,0.20907553399937703,0.3127486889355691,0.20907553399937703,single_mask,True,1,0.16180100434010639,-0.0020286630425064506,0.16180100434010639,-0.0020286630425064506
7,0.9976482311908321,0.00025909317389138014,0.0020926756352765323,mask_bank,True,4,0.1391878590047373,0.17723988910992405,0.36284875145594125,0.17723988910992405,single_mask,True,1,0.4503548542675524,-0.024366354653209767,0.4503548542675524,-0.024366354653209767
8,0.9660785288270378,0.000219272599695942,0.033702198573266284,mask_bank,True,5,0.3130367720026728,0.522511646357389,0.40561805330327444,0.32894416917603025,single_mask,True,1,0.0005155122316989131,0.8764983979605662,0.9272416413357847,0.8764983979605662
9,1.0,0.0,0.0,mask_bank,True,3,0.412305404883383,0.47851270182355354,0.49036803297255943,0.3182757045723681,single_mask,True,1,0.0,-0.0021061362584723214,0.07350256772197167,-0.0021061362584723214
10,1.0,0.0,0.0,mask_bank,True,2,0.2843324596271469,0.16686243839071266,0.350507740725552,0.16686243839071266,single_mask,True,1,0.010085717466302825,0.0044653064933413865,0.14976393680735936,0.0044653064933413865
11,1.0,0.0,0.0,mask_bank,False,0,0.0,0.0,0.0,0.0,single_mask,True,1,0.20160705167799628,0.24457825699700442,0.7574846366053725,0.24457825699700442
12,1.0,0.0,0.0,mask_bank,True,2,0.013768534376084685,0.343336976640174,0.44798180134663934,0.343336976640174,single_mask,True,1,0.021240831295789422,0.01804072276591984,0.021240831295789422,0.01804072276591984
13,1.0,0.0,0.0,mask_bank,False,0,0.0,0.0,0.0,0.0,single_mask,True,1,0.017276290006475258,0.02420111710280242,0.05523038605195996,0.02420111710280242
14,0.9656843102254927,2.4285696938787902e-05,0.03429140407756852,mask_bank,True,2,0.0006473233287936462,0.4747443669963419,0.4923635593954232,0.4747443669963419,single_mask,True,1,0.0008750482563354135,0.000894947423821084,0.0008750482563354135,0.000894947423821084
15,1.0,0.0,0.0,mask_bank,True,3,0.3174597172201909,0.512756295256812,0.6224307707772947,0.512756295256812,single_mask,True,1,0.9081918889321152,0.8648701224547864,0.9081918889321152,0.8648701224547864
16,1.0,0.0,0.0,mask_bank,True,3,0.2449974278938695,0.33664837732005837,0.5139852148159112,0.33664837732005837,single_mask,True,1,0.014942220861684124,0.15948756576949888,0.2270566261982042,0.15948756576949888
17,0.9771442687747035,0.00015810276679841898,0.022697628458498025,mask_bank,True,6,0.2059052009830823,0.22482418524982217,0.26587662800182077,0.15221694801275665,single_mask,True,1,6.831441024160304e-05,0.22018296203701673,0.3753402683249676,0.22018296203701673
18,1.0,0.0,0.0,mask_bank,True,3,0.49576638338979045,0.454010245002585,0.6171259494953217,0.5785391201251341,single_mask,True,1,0.0,0.8412561440978776,0.8713061214557674,0.8412561440978776
19,1.0,0.0,0.0,mask_bank,True,5,0.1731177744902705,0.03672846130219258,0.29333148728288194,0.14773406727910782,single_mask,True,1,0.06104373892892622,0.021491287094513752,0.09324262382067201,0.021491287094513752
20,1.0,0.0,0.0,mask_bank,True,2,0.03313984603337392,0.3196654757547524,0.38202751080749553,0.18977407694639176,single_mask,True,1,0.031224826422067493,0.46724501486628367,0.6817785527417223,0.46724501486628367
21,1.0,0.0,0.0,mask_bank,True,1,0.03729933197441373,-0.04442729199373402,0.03729933197441373,-0.04442729199373402,single_mask,True,1,0.03731421004859579,-0.04444118858290959,0.03731421004859579,-0.04444118858290959
22,1.0,0.0,0.0,mask_bank,True,6,0.23465474943796003,0.07653579451117064,0.24404432930927025,0.07003393848428983,single_mask,True,1,0.36575789108516715,0.09955977615527835,0.36575789108516715,0.09955977615527835
23,1.0,0.0,0.0,mask_bank,True,3,0.48676095105640155,0.45380956602791106,0.6204463153374805,0.5816837750027626,single_mask,True,1,0.0,0.8576937370720934,0.9023104795026007,0.8576937370720934
24,1.0,0.0,0.0,mask_bank,True,4,0.4079844899146314,0.6700939907223488,0.4487343505281022,0.32020306595160464,single_mask,True,1,0.0,-0.030631740224393144,0.08344794260847592,-0.030631740224393144
25,1.0,0.0,0.0,mask_bank,True,4,0.21711619364149062,0.27982705701894006,0.4486438388320579,0.27982705701894006,single_mask,True,1,0.4309640036495179,0.1268337489405039,0.4309640036495179,0.1268337489405039
26,1.0,0.0,0.0,mask_bank,True,3,0.28823676584831504,0.2327417360327904,0.34993082305984374,0.2327417360327904,single_mask,True,1,0.0007581117962185913,-0.0013577811288583814,0.1863383754736222,-0.0013577811288583814
27,1.0,0.0,0.0,mask_bank,True,2,0.45207187418359934,0.42667348350423906,0.45207187418359934,0.42667348350423906,single_mask,True,1,0.8875024110852301,0.8487321315871054,0.8875024110852301,0.8487321315871054
28,1.0,0.0,0.0,mask_bank,True,3,0.41467559906454887,0.7506244980654584,0.578070781031126,0.49526666834641137,single_mask,True,1,0.8215850986046239,0.8089874756952342,0.8215850986046239,0.8089874756952342
29,1.0,0.0,0.0,mask_bank,True,4,0.2373358945529791,0.17702270967014141,0.462547851554471,0.17702270967014141,single_mask,True,1,0.0016539549904747448,0.9693691131365533,0.9690335988882264,0.9693691131365533
30,0.9871944819313241,0.0001349527665317139,0.012670565302144249,mask_bank,True,5,0.22696881883429915,0.3741805974656219,0.36952258516304304,0.3008003891098342,single_mask,True,1,0.018047926601019955,9.261710854265895e-05,0.018047926601019955,9.261710854265895e-05
31,1.0,0.0,0.0,mask_bank,True,3,0.3068856043033375,0.42295074015653705,0.5775926433250559,0.42295074015653705,single_mask,True,1,0.04308327374367307,0.018701665136658045,0.15735608482594474,0.018701665136658045
32,1.0,0.0,0.0,mask_bank,True,2,0.10997172652083581,0.08806424551977479,0.3437840988276246,0.08806424551977479,single_mask,True,1,0.19285793500950582,0.012666749463256006,0.19285793500950582,0.012666749463256006
33,1.0,0.0,0.0,mask_bank,True,4,0.21547586291861484,0.027415885823923652,0.21946443006478752,0.027415885823923652,single_mask,True,1,0.04129837112353653,-0.022560529022925834,0.04129837112353653,-0.022560529022925834
34,1.0,0.0,0.0,mask_bank,True,5,0.23713668143133,0.18180933219781065,0.35076158121718487,0.15929070801873707,single_mask,True,1,0.0,0.06954576032554241,0.06652881059344443,0.06954576032554241
35,1.0,0.0,0.0,mask_bank,True,3,0.009148713693600223,0.3397301264417029,0.2997425858000086,0.2564640639265765,single_mask,True,1,0.012755239335637433,0.7971841190384196,0.8457054376511348,0.7971841190384196
36,1.0,0.0,0.0,mask_bank,True,3,0.3091350518280925,0.2507302242935661,0.3506494883958973,0.2507302242935661,single_mask,True,1,0.8735764187918769,0.7392913808422051,0.8735764187918769,0.7392913808422051
37,1.0,0.0,0.0,mask_bank,True,5,0.25525945442281883,0.42664945805055493,0.397455241463605,0.3398852095427657,single_mask,True,1,0.0,-0.00718609334517468,0.020899808551324416,-0.00718609334517468
38,1.0,0.0,0.0,mask_bank,True,2,0.442831680277201,0.8247569893242048,0.9108831232521907,0.8247569893242048,single_mask,True,1,0.9175872735205746,0.8261529648897779,0.9175872735205746,0.8261529648897779
39,1.0,0.0,0.0,mask_bank,True,1,0.6808392875078956,0.2739970807939004,0.6808392875078956,0.2739970807939004,single_mask,True,1,0.6977457985272328,0.30081470433068935,0.6977457985272328,0.30081470433068935
40,1.0,0.0,0.0,mask_bank,True,2,0.0938234207609207,-0.06528151561796362,0.0938234207609207,-0.06528151561796362,single_mask,True,1,0.029826376062039285,-0.03778287409647315,0.029826376062039285,-0.03778287409647315
41,0.9840617397869307,0.0009804127170539385,0.014957847496015435,mask_bank,True,2,0.24900636223543637,0.4547162433355389,0.6795413970557003,0.4547162433355389,single_mask,True,1,0.004317603343655653,0.8445791715211366,0.8735567010294268,0.8445791715211366
42,1.0,0.0,0.0,mask_bank,True,3,0.2818586722680024,0.5068581040936512,0.5898202677763457,0.5068581040936512,single_mask,True,1,0.8489304812786935,0.7290935171122943,0.8489304812786935,0.7290935171122943
43,1.0,0.0,0.0,mask_bank,True,3,0.9642292420641476,0.9531443460849736,0.5532220176398753,0.3202215852698448,single_mask,True,1,0.0,-0.060351462077684694,0.22805767599622043,-0.060351462077684694
44,0.9699553132824137,0.0,0.030044686717586283,mask_bank,True,2,0.21781197864604487,0.51437268593578,0.6733436652681047,0.51437268593578,single_mask,True,1,0.4306261678172541,0.18416749200941185,0.4306261678172541,0.18416749200941185
45,1.0,0.0,0.0,mask_bank,True,6,0.32330992913404477,0.3787850380674229,0.45228728035803806,0.31431247749525487,single_mask,True,1,0.7939981653728607,0.6916665033463958,0.7939981653728607,0.6916665033463958
46,1.0,0.0,0.0,mask_bank,True,1,0.5519708762216421,0.24818089563165188,0.5519708762216421,0.24818089563165188,single_mask,True,1,0.5600167293995817,0.2570496202125458,0.5600167293995817,0.2570496202125458
47,1.0,0.0,0.0,mask_bank,True,2,0.43397535788018526,0.15088233952195534,0.4839516457265657,0.15088233952195534,single_mask,True,1,0.2580298654640804,0.11444407599669966,0.38306186981569396,0.11444407599669966
48,1.0,0.0,0.0,mask_bank,True,5,0.31994854337776324,0.5705169401566484,0.38486963286782744,0.35081642608979596,single_mask,True,1,0.0,0.011787824795508047,0.021265113836878104,0.011787824795508047
49,1.0,0.0,0.0,mask_bank,True,2,0.37785241420447674,0.7428776383380216,0.8516211900488793,0.7428776383380216,single_mask,True,1,0.005095168374802064,0.9335473386850031,0.9682694919806124,0.9335473386850031
50,1.0,0.0,0.0,mask_bank,True,4,0.30573374869159364,0.4264956559640386,0.5476484939421362,0.4264956559640386,single_mask,True,1,0.710114631345059,0.5380270589957946,0.710114631345059,0.5380270589957946
51,0.969817257873464,0.0003255178899207002,0.029857224236615337,mask_bank,True,3,0.48698369008725906,0.8867428136777035,0.614430665455623,0.5924612357473568,single_mask,True,1,0.0006057808804009637,0.8713484662361933,0.8810888252117439,0.8713484662361933
52,1.0,0.0,0.0,mask_bank,True,2,0.44913058072901796,0.7753831030307797,0.8827432745591457,0.7753831030307797,single_mask,True,1,0.8619459878515003,0.7561409114432294,0.8619459878515003,0.7561409114432294
53,1.0,0.0,0.0,mask_bank,True,6,0.2405636821474928,0.35124837489449773,0.4024315725651569,0.2565671688193414,single_mask,True,1,3.9048771915970755e-05,0.7266201435534874,0.8616761594734087,0.7266201435534874
54,1.0,0.0,0.0,mask_bank,True,4,0.34243711278049926,0.0654912668420542,0.40206821946735116,0.17870447636580108,single_mask,True,1,0.33631944232018735,0.06158286822458449,0.33631944232018735,0.06158286822458449
55,1.0,0.0,0.0,mask_bank,True,3,0.2997665398858894,0.561543019317982,0.6128339043762417,0.561543019317982,single_mask,True,1,0.8998599301605874,0.8456516892348392,0.8998599301605874,0.8456516892348392
