image_id,v11_iou,v11_ari,v9_iou,v9_ari,delta_iou_vs_v9,delta_ari_vs_v9,proposal_count_dense,source,switched,v9_cov_union,best_cov_union,best_prec_union,best_area_u
1,0.8064880371081444,-0.026272012090885262,0.8064880371081444,-0.026272012090885262,0.0,0.0,38,v9_keep,0,0.9854906747840598,0.9854906747840598,0.9914346562203672,0.9940046664709428
101,0.8544103284798971,0.6614862160298591,0.8544103284798971,0.6614862160298591,0.0,0.0,66,v9_keep,0,0.6371760221218891,0.021715696230217626,1.0,0.021715696230217626
102,0.8580424661566295,0.7039459645037986,0.8580424661566295,0.7039459645037986,0.0,0.0,35,v9_keep,0,0.5230249540494445,0.5230249540494445,0.990405117270789,0.5280919342286102
103,0.7147562018804218,0.35153963108251135,0.7147562018804218,0.35153963108251135,0.0,0.0,32,v9_keep,0,0.5212029219239162,0.017518894475539955,1.0,0.017518894475539955
104,0.9603293175228705,0.6309044689285838,0.9603293175228705,0.6309044689285838,0.0,0.0,32,v9_keep,0,0.9346677091477716,0.9346677091477716,0.9892095855951277,0.9448631743549648
106,0.9669905331323101,0.8586108022523139,0.9669905331323101,0.8586108022523139,0.0,0.0,28,v9_keep,0,0.8340065367538234,0.8340065367538234,0.9912595741561916,0.8413603848051308
107,0.5620755458254417,0.273489764786026,0.5620755458254417,0.273489764786026,0.0,0.0,48,v9_keep,0,0.31777110825274324,0.5292585711336605,1.0,0.5292585711336605
109,0.24499529913493776,-0.052300824988146796,0.24499529913493776,-0.052300824988146796,0.0,0.0,41,v9_keep,0,0.16239733140321616,0.16239733140321616,0.9660239610632722,0.16810900966107561
118,0.8965870307065233,0.9208323650544092,0.8965870307065233,0.9208323650544092,0.0,0.0,31,v9_keep,0,0.13295443012280525,0.13295443012280525,0.9906730526846483,0.13420616394329984
12,0.8845665604082356,0.7658322508639945,0.8845665604082356,0.7658322508639945,0.0,0.0,63,v9_keep,0,0.5457872035626976,0.5457872035626976,0.9890516098084031,0.5518288410333069
121,0.9130097767086415,0.7987993016250067,0.9130097767086415,0.7987993016250067,0.0,0.0,48,v9_keep,0,0.5788764543638842,0.5788764543638842,0.9993979365644071,0.5792251846685477
122,0.9047257486457367,0.8176948513912358,0.9047257486457367,0.8176948513912358,0.0,0.0,28,v9_keep,0,0.4652931804692137,0.4705569960326138,1.0,0.4705569960326138
125,0.9215733707440051,0.9011278244571337,0.9215733707440051,0.9011278244571337,0.0,0.0,41,v9_keep,0,0.3068583586245737,0.29407715653452643,1.0,0.29407715653452643
128,0.6876770190391649,0.08823103729555062,0.6876770190391649,0.08823103729555062,0.0,0.0,39,v9_keep,0,0.876698096872196,0.876698096872196,0.9902739993954588,0.885308608937932
129,0.9572443833067505,0.9327146279369543,0.9572443833067505,0.9327146279369543,0.0,0.0,47,v9_keep,0,0.39455995487520173,0.39455995487520173,0.9967937299608123,0.3958290898265516
13,0.8319670803200209,0.7084688569122056,0.8319670803200209,0.7084688569122056,0.0,0.0,116,v9_keep,0,0.39182353942056336,0.39182353942056336,0.9865249055575028,0.39717551702269177
134,0.9724247685157048,0.9426783436798863,0.9724247685157048,0.9426783436798863,0.0,0.0,36,v9_keep,0,0.5810584187686935,0.5810584187686935,0.9991972886193364,0.5815252156774606
139,0.8547423187764369,0.7634181219348213,0.8547423187764369,0.7634181219348213,0.0,0.0,58,v9_keep,0,0.39384595515231746,0.39384595515231746,0.9977914110429448,0.3947177243594918
14,0.9769615805317832,0.9580271128834078,0.9769615805317832,0.9580271128834078,0.0,0.0,33,v9_keep,0,0.45283077496737306,0.45283077496737306,0.9889386536373507,0.45789571810328755
142,0.8932356608339583,0.9260753562068402,0.8932356608339583,0.9260753562068402,0.0,0.0,36,v9_keep,0,0.09879509859058916,0.09879509859058916,1.0,0.09879509859058916
149,0.8904472878365856,0.7703814858455151,0.8904472878365856,0.7703814858455151,0.0,0.0,35,v9_keep,0,0.5370108669168169,0.5370108669168169,0.9928226072855041,0.5408930688887806
15,0.8564773656667385,0.7684846359588393,0.8564773656667385,0.7684846359588393,0.0,0.0,38,v9_keep,0,0.6724891890578689,0.6724891890578689,0.9946460653970536,0.6761090326028861
16,0.5071261652230113,0.16696028154637912,0.5071261652230113,0.16696028154637912,0.0,0.0,47,v9_keep,0,0.32822080792302966,0.5227404908689077,1.0,0.5227404908689077
17,0.8185065714035389,0.6276277266733303,0.8185065714035389,0.6276277266733303,0.0,0.0,35,v9_keep,0,0.5957363198742509,0.5957363198742509,0.9966580836026955,0.5977338965844713
175,0.8664757472665721,0.823165694317952,0.8664757472665721,0.823165694317952,0.0,0.0,34,v9_keep,0,0.31555482166446497,0.31555482166446497,0.985254691689008,0.3202774108322325
176,0.9685038021494682,0.8390549952135533,0.9685038021494682,0.8390549952135533,0.0,0.0,43,v9_keep,0,0.8998327866743842,0.8998327866743842,0.9878735459728523,0.9108785130876583
178,0.09619467147835635,-0.016548537181568502,0.09619467147835635,-0.016548537181568502,0.0,0.0,57,v9_keep,0,0.05626534080181257,0.05626534080181257,0.9864827586206897,0.05703631443136761
18,0.4089701596461224,0.08339961581815863,0.4089701596461224,0.08339961581815863,0.0,0.0,68,v9_keep,0,0.8117293947442292,0.23735181706290082,1.0,0.23735181706290082
180,0.8498860828519401,0.7348310311203192,0.8498860828519401,0.7348310311203192,0.0,0.0,51,v9_keep,0,0.4099083761530366,0.4099083761530366,1.0,0.4099083761530366
181,0.9859325906848545,0.9760838831551094,0.9859325906848545,0.9760838831551094,0.0,0.0,37,v9_keep,0,0.4332923794222348,0.4332923794222348,0.99554847815859,0.4352298144472797
182,0.9753948199590164,0.9530178837990009,0.9753948199590164,0.9530178837990009,0.0,0.0,34,v9_keep,0,0.48502162315729663,0.48502162315729663,0.9945305673322761,0.48768900533476434
183,0.9745238014650521,0.95456153382521,0.9745238014650521,0.95456153382521,0.0,0.0,33,v9_keep,0,0.4429773203500555,0.4429773203500555,0.9981599777808637,0.44379391100702575
184,0.9723022164666808,0.9484343416176666,0.9723022164666808,0.9484343416176666,0.0,0.0,34,v9_keep,0,0.46530169070885685,0.46530169070885685,0.9929495878984476,0.4686055529703738
185,0.9701951201415446,0.9514090823744789,0.9701951201415446,0.9514090823744789,0.0,0.0,53,v9_keep,0,0.4059615980179622,0.4059615980179622,0.9967683065926546,0.40727779498296685
