image_id,mode,iou0,iou1,iou,ari,used_inversion,num_pred_masks,pred_source,pred_paths,gt_path
rwtd_224,non_aggregated,0.48174157303297244,0.5121619743316518,0.5121619743316518,0.0011347611988110034,1,1,single,/home/galoren/rwtd_partition_nonsam/outputs/rwtd/stage2_ade_rwtd_graph/masks/rwtd_224.png,/home/galoren/rwtd_partition_nonsam/data/rwtd_kaust256/labels/rwtd_224.png
rwtd_228,non_aggregated,0.991577148435987,0.008422851562487147,0.991577148435987,0.0,0,1,single,/home/galoren/rwtd_partition_nonsam/outputs/rwtd/stage2_ade_rwtd_graph/masks/rwtd_228.png,/home/galoren/rwtd_partition_nonsam/data/rwtd_kaust256/labels/rwtd_228.png
rwtd_229,non_aggregated,0.4188537597649859,0.5811462402334883,0.5811462402334883,0.0,1,1,single,/home/galoren/rwtd_partition_nonsam/outputs/rwtd/stage2_ade_rwtd_graph/masks/rwtd_229.png,/home/galoren/rwtd_partition_nonsam/data/rwtd_kaust256/labels/rwtd_229.png
rwtd_236,non_aggregated,0.531784057616376,0.46821594238209807,0.531784057616376,0.0,0,1,single,/home/galoren/rwtd_partition_nonsam/outputs/rwtd/stage2_ade_rwtd_graph/masks/rwtd_236.png,/home/galoren/rwtd_partition_nonsam/data/rwtd_kaust256/labels/rwtd_236.png
rwtd_237,non_aggregated,0.5176544189445226,0.4823455810539515,0.5176544189445226,0.0,0,1,single,/home/galoren/rwtd_partition_nonsam/outputs/rwtd/stage2_ade_rwtd_graph/masks/rwtd_237.png,/home/galoren/rwtd_partition_nonsam/data/rwtd_kaust256/labels/rwtd_237.png
rwtd_238,non_aggregated,0.4501647949211881,0.549835205077286,0.549835205077286,0.0,1,1,single,/home/galoren/rwtd_partition_nonsam/outputs/rwtd/stage2_ade_rwtd_graph/masks/rwtd_238.png,/home/galoren/rwtd_partition_nonsam/data/rwtd_kaust256/labels/rwtd_238.png
rwtd_24,non_aggregated,0.16882626151276262,0.8041283064094736,0.8041283064094736,0.005541301484039941,1,1,single,/home/galoren/rwtd_partition_nonsam/outputs/rwtd/stage2_ade_rwtd_graph/masks/rwtd_24.png,/home/galoren/rwtd_partition_nonsam/data/rwtd_kaust256/labels/rwtd_24.png
rwtd_240,non_aggregated,0.5797576904288029,0.42024230956967124,0.5797576904288029,0.0,0,1,single,/home/galoren/rwtd_partition_nonsam/outputs/rwtd/stage2_ade_rwtd_graph/masks/rwtd_240.png,/home/galoren/rwtd_partition_nonsam/data/rwtd_kaust256/labels/rwtd_240.png
rwtd_243,non_aggregated,0.04316076294271209,0.9359097116471723,0.9359097116471723,0.4097945237360643,1,1,single,/home/galoren/rwtd_partition_nonsam/outputs/rwtd/stage2_ade_rwtd_graph/masks/rwtd_243.png,/home/galoren/rwtd_partition_nonsam/data/rwtd_kaust256/labels/rwtd_243.png
rwtd_244,non_aggregated,0.23202434929912294,0.7413892570347839,0.7413892570347839,0.044769572567768055,1,1,single,/home/galoren/rwtd_partition_nonsam/outputs/rwtd/stage2_ade_rwtd_graph/masks/rwtd_244.png,/home/galoren/rwtd_partition_nonsam/data/rwtd_kaust256/labels/rwtd_244.png
