image_id,mode,iou0,iou1,iou,ari,used_inversion,num_pred_masks,pred_source,pred_paths,gt_path
rwtd_373,non_aggregated,0.767105102537892,0.2315934275884882,0.767105102537892,-0.002350906978745742,0,1,single,/home/galoren/rwtd_partition_nonsam/outputs/rwtd/stage2_ade_rwtd_watershed/masks/rwtd_373.png,/home/galoren/rwtd_partition_nonsam/data/rwtd_kaust256/labels/rwtd_373.png
rwtd_374,non_aggregated,0.823791503904993,0.17560469093547582,0.823791503904993,-0.001148545568287349,0,1,single,/home/galoren/rwtd_partition_nonsam/outputs/rwtd/stage2_ade_rwtd_watershed/masks/rwtd_374.png,/home/galoren/rwtd_partition_nonsam/data/rwtd_kaust256/labels/rwtd_374.png
rwtd_376,non_aggregated,0.33340454101511624,0.6665954589833578,0.6665954589833578,0.0,1,1,single,/home/galoren/rwtd_partition_nonsam/outputs/rwtd/stage2_ade_rwtd_watershed/masks/rwtd_376.png,/home/galoren/rwtd_partition_nonsam/data/rwtd_kaust256/labels/rwtd_376.png
rwtd_377,non_aggregated,0.9057617187486179,0.08889980353620933,0.9057617187486179,-0.009957757795649048,0,1,single,/home/galoren/rwtd_partition_nonsam/outputs/rwtd/stage2_ade_rwtd_watershed/masks/rwtd_377.png,/home/galoren/rwtd_partition_nonsam/data/rwtd_kaust256/labels/rwtd_377.png
rwtd_378,non_aggregated,0.8260803222643645,0.17391967773410963,0.8260803222643645,0.0,0,1,single,/home/galoren/rwtd_partition_nonsam/outputs/rwtd/stage2_ade_rwtd_watershed/masks/rwtd_378.png,/home/galoren/rwtd_partition_nonsam/data/rwtd_kaust256/labels/rwtd_378.png
rwtd_38,non_aggregated,0.17773840255368697,0.8213358976694731,0.8213358976694731,0.0007762812066555391,1,1,single,/home/galoren/rwtd_partition_nonsam/outputs/rwtd/stage2_ade_rwtd_watershed/masks/rwtd_38.png,/home/galoren/rwtd_partition_nonsam/data/rwtd_kaust256/labels/rwtd_38.png
rwtd_380,non_aggregated,0.2642174286060421,0.7328186035145068,0.7328186035145068,-0.005091040422008972,1,1,single,/home/galoren/rwtd_partition_nonsam/outputs/rwtd/stage2_ade_rwtd_watershed/masks/rwtd_380.png,/home/galoren/rwtd_partition_nonsam/data/rwtd_kaust256/labels/rwtd_380.png
rwtd_382,non_aggregated,0.23663423216359084,0.6368671010892616,0.6368671010892616,-0.028401571664757555,1,1,single,/home/galoren/rwtd_partition_nonsam/outputs/rwtd/stage2_ade_rwtd_watershed/masks/rwtd_382.png,/home/galoren/rwtd_partition_nonsam/data/rwtd_kaust256/labels/rwtd_382.png
rwtd_383,non_aggregated,0.4243031545445273,0.5737807578919311,0.5737807578919311,-0.0006477398256856213,1,1,single,/home/galoren/rwtd_partition_nonsam/outputs/rwtd/stage2_ade_rwtd_watershed/masks/rwtd_383.png,/home/galoren/rwtd_partition_nonsam/data/rwtd_kaust256/labels/rwtd_383.png
rwtd_387,non_aggregated,0.23486272173040157,0.7641448974597715,0.7641448974597715,-0.001788816932621152,1,1,single,/home/galoren/rwtd_partition_nonsam/outputs/rwtd/stage2_ade_rwtd_watershed/masks/rwtd_387.png,/home/galoren/rwtd_partition_nonsam/data/rwtd_kaust256/labels/rwtd_387.png
rwtd_388,non_aggregated,0.29782187427285045,0.6690428697546368,0.6690428697546368,0.09665004784313834,1,1,single,/home/galoren/rwtd_partition_nonsam/outputs/rwtd/stage2_ade_rwtd_watershed/masks/rwtd_388.png,/home/galoren/rwtd_partition_nonsam/data/rwtd_kaust256/labels/rwtd_388.png
rwtd_389,non_aggregated,0.43074035644465525,0.5692596435538189,0.5692596435538189,0.0,1,1,single,/home/galoren/rwtd_partition_nonsam/outputs/rwtd/stage2_ade_rwtd_watershed/masks/rwtd_389.png,/home/galoren/rwtd_partition_nonsam/data/rwtd_kaust256/labels/rwtd_389.png
rwtd_39,non_aggregated,0.33991231782192743,0.5784826008916689,0.5784826008916689,-0.0145998183013437,1,1,single,/home/galoren/rwtd_partition_nonsam/outputs/rwtd/stage2_ade_rwtd_watershed/masks/rwtd_39.png,/home/galoren/rwtd_partition_nonsam/data/rwtd_kaust256/labels/rwtd_39.png
