image_id,iou,iou_inv,iou_inv_robust,used_inversion,dice,dice_inv,dice_inv_robust,boundary_precision,boundary_recall,boundary_f1,ari,pred_fg_ratio,gt_fg_ratio,oracle_agg_iou,oracle_agg_iou_inv,oracle_agg_iou_inv_robust,oracle_agg_used_inversion,oracle_agg_num_segments,agg_iou,agg_iou_inv,agg_iou_inv_robust,agg_used_inversion,agg_num_segments
rwtd_1,0.9279993461908074,0.011633239574414268,0.9279993461908074,0,0.962655249883022,0.02299892711969068,0.962655249883022,0.7165898617346408,0.701176470571737,0.7087993770273949,0.9362596918376475,0.18487548828125,0.1750946044921875,0.9279993461908074,0.9837396873440905,0.9837396873440905,1,1,0.9279993461908074,0.9837396873440905,0.9837396873440905,1,1
rwtd_101,0.18512187871576866,0.15845515249950798,0.18512187871576866,0,0.31240985765341184,0.27356286025854637,0.31240985765341184,0.0663021189332447,0.12201257861481746,0.08591673591513636,-0.0006678527554990479,0.2078094482421875,0.522186279296875,0.5221862792967954,0.4778137207030521,0.5221862792967954,0,2,0.5221862792967954,0.4778137207030521,0.5221862792967954,0,2
rwtd_102,0.15426533699710485,0.4658684419711517,0.4658684419711517,1,0.26729614422700415,0.6356210811724672,0.6356210811724672,0.09274193548293606,0.24664879355907107,0.13479853082477974,0.4039112931747566,0.295562744140625,0.8453521728515625,0.8453521728514335,0.4658684419711517,0.8453521728514335,0,2,0.8453521728514335,0.4658684419711517,0.8453521728514335,0,2
rwtd_103,0.003139315116762296,0.2652063451396774,0.2652063451396774,1,0.006258981318854779,0.41923018511324156,0.41923018511324156,0.1220825852771806,0.208667736754275,0.15404185151038527,-0.07189706281557905,0.1910400390625,0.2867889404296875,0.35201641751697255,0.7132110595702037,0.7132110595702037,1,2,0.35201641751697255,0.7132110595702037,0.7132110595702037,1,2
rwtd_104,0.8030116779323817,0.009675105678400454,0.8030116779323817,0,0.890744844041434,0.01916478998835918,0.890744844041434,0.9772727272542183,0.9715909090725078,0.974423530629613,0.8762128898564749,0.0495452880859375,0.03997802734375,0.8030116779323817,0.9898129459814393,0.9898129459814393,1,1,0.8030116779323817,0.9898129459814393,0.9898129459814393,1,1
rwtd_106,0.1553528829457238,0.7941894531248789,0.7941894531248789,1,0.2689271567828372,0.8852905157163488,0.8852905157163488,0.0,0.0,0.0,-0.06916256459665963,0.9402618408203125,0.1460723876953125,0.1553528829457238,0.8539276123045573,0.8539276123045573,1,2,0.1553528829457238,0.8539276123045573,0.8539276123045573,1,2
rwtd_107,0.5642465862177349,0.25288006583003275,0.5642465862177349,0,0.7214292058415843,0.40367800993385555,0.7214292058415843,0.2646766169141061,0.26044352759019884,0.26254300539966935,0.10819067807089379,0.65887451171875,0.5437164306640625,0.5642465862177349,0.4562835693358679,0.5642465862177349,0,1,0.5642465862177349,0.4562835693358679,0.5642465862177349,0,1
rwtd_109,0.014834583573760619,0.44464794464784413,0.44464794464784413,1,0.0292354711080506,0.6155796591068201,0.6155796591068201,0.1607418856247238,0.2102454642453549,0.18219085619886904,0.047581954850792633,0.309478759765625,0.3345794677734375,0.4645636676766444,0.665420532226461,0.665420532226461,1,2,0.4645636676766444,0.665420532226461,0.665420532226461,1,2
rwtd_118,0.8701385041541604,0.004454618573283974,0.8701385041541604,0,0.9305604929488502,0.008869725900830171,0.9305604929488502,0.8238719068293469,0.7190860214957112,0.7679208317850993,0.8990910734087569,0.1242218017578125,0.1333160400390625,0.8701385041541604,0.9796820553714302,0.9796820553714302,1,1,0.8701385041541604,0.9796820553714302,0.9796820553714302,1,1
rwtd_12,0.06862369337977899,0.6579901433182298,0.6579901433182298,1,0.12843378600888042,0.7937202111483688,0.7937202111483688,0.07723995880495757,0.2798353909407441,0.12106393498462314,0.3987515907432396,0.414581298828125,0.5213775634765625,0.7145727455381836,0.6579901433182298,0.7145727455381836,0,1,0.7145727455381836,0.6579901433182298,0.7145727455381836,0,1
rwtd_121,0.25679285253749395,0.30446439452398566,0.30446439452398566,1,0.40864785635759027,0.4668036870950215,0.4668036870950215,0.17709437963757058,0.8704663211984214,0.2943117120629917,0.19648222777890686,0.3696136474609375,0.8796234130859375,0.8796234130858033,0.30446439452398566,0.8796234130858033,0,2,0.8796234130858033,0.30446439452398566,0.8796234130858033,0,2
rwtd_122,0.03149558237833893,0.9403876103129318,0.9403876103129318,1,0.061067798866804586,0.9692781022872774,0.9692781022872774,0.32113821137776233,0.3196159122041205,0.32037524845709503,0.877817529852189,0.5290374755859375,0.502410888671875,0.9372285827079665,0.9403876103129318,0.9403876103129318,1,1,0.9372285827079665,0.9403876103129318,0.9403876103129318,1,1
rwtd_125,0.02591278767951812,0.06569802797322873,0.06569802797322873,1,0.05051655070628273,0.12329576718495928,0.12329576718495928,0.2644710578815921,0.3315412186320512,0.2942323801271625,-0.023288320725383775,0.0552978515625,0.3065643310546875,0.886977999359243,0.9464502427182415,0.9464502427182415,1,2,0.886977999359243,0.9464502427182415,0.9464502427182415,1,2
rwtd_128,0.0003868621610119566,0.2594057289438545,0.2594057289438545,1,0.0007734251131132733,0.41194941865381823,0.41194941865381823,0.22222222221648005,0.20227272726813017,0.21177869815880113,0.2300769085870944,0.074371337890625,0.71478271484375,0.771629148676581,0.2852172851562065,0.771629148676581,0,1,0.771629148676581,0.2852172851562065,0.771629148676581,0,1
rwtd_129,0.04267192407938872,0.8044530953283316,0.8044530953283316,1,0.0818511040604939,0.8916309295165762,0.8916309295165762,0.3534635879187082,0.4553472987821902,0.39798843124677746,0.5601511141096163,0.55609130859375,0.396148681640625,0.739682740314498,0.8044530953283316,0.8044530953283316,1,1,0.739682740314498,0.8044530953283316,0.8044530953283316,1,1
rwtd_13,0.002700604806105841,0.8754431195614323,0.8754431195614323,1,0.005386662365937362,0.9335853595668128,0.9335853595668128,0.09944751380940753,0.11196911196478883,0.10533749879776,0.7779874936243742,0.41705322265625,0.5290679931640625,0.8992728883790104,0.8754431195614323,0.8992728883790104,0,1,0.8992728883790104,0.8754431195614323,0.8992728883790104,0,1
rwtd_134,0.0020305984840261605,0.9629367934220956,0.9629367934220956,1,0.0040529670193669865,0.981118492097094,0.981118492097094,0.8341645885182772,0.8322744599640117,0.8332184473189722,0.9308033259757887,0.4594879150390625,0.5269012451171875,0.9675423299766645,0.9629367934220956,0.9675423299766645,0,1,0.9675423299766645,0.9629367934220956,0.9675423299766645,0,1
rwtd_139,0.7269590382900917,0.12037884767164636,0.7269590382900917,0,0.8418949403801416,0.2148895401262096,0.8418949403801416,0.49609984398602025,0.2893258426939202,0.36549480371805987,0.4907703636381985,0.514984130859375,0.431976318359375,0.7269590382900917,0.7510402922965719,0.7510402922965719,1,1,0.7269590382900917,0.7510402922965719,0.7510402922965719,1,1
rwtd_14,0.0007815830609632937,0.22692052980124935,0.22692052980124935,1,0.0015619453319130135,0.3699025719913719,0.3699025719913719,0.16206482592842658,0.38810198299183846,0.22864948649389613,0.07903441157905758,0.105072021484375,0.5396881103515625,0.602150537634306,0.4603118896483673,0.602150537634306,0,1,0.602150537634306,0.4603118896483673,0.602150537634306,0,1
rwtd_142,0.2311980760821195,0.3218934550059786,0.3218934550059786,1,0.37556601260754224,0.48701875901870284,0.48701875901870284,0.15460122699196807,0.2206405693910918,0.18180971401276788,0.11153619633604023,0.4186859130859375,0.096893310546875,0.2311980760821195,0.9031066894529872,0.9031066894529872,1,2,0.2311980760821195,0.9031066894529872,0.9031066894529872,1,2
