image_id,selected_source,selected_run_idx,predicted_iou,actual_iou,actual_ari
rwtd_1,rwtd_1_p02_m00.png,2,0.9613135457038879,0.9659022588596933,0.9706531582680286
rwtd_2,rwtd_2_p01_m00.png,2,0.808657169342041,0.859469507794075,0.7147364885923992
rwtd_3,run3_union,3,0.5895274877548218,0.6789347695973496,0.3676091211065442
rwtd_4,rwtd_4_p02_m00.png,1,0.9264593124389648,0.9534340445339243,0.9576950847704591
rwtd_5,run2_union,2,0.9180275201797485,0.9498437194718214,0.9368279802471029
rwtd_8,rwtd_8_p01_m00.png,1,0.8935555219650269,0.8785966858459453,0.7975194218245233
rwtd_12,run3_union,3,0.601471483707428,0.6563881158932386,0.23740964071113502
rwtd_13,rwtd_13_p02_m00.png,3,0.9305552244186401,0.9627875315512868,0.9215230454990226
rwtd_14,run0_union,0,0.9470407366752625,0.9724254838226517,0.9413149870860887
rwtd_15,run2_union,2,0.6573405861854553,0.7274679926248119,0.2068757114170863
rwtd_16,run3_union,3,0.7571557760238647,0.7424299240631329,0.44167744756919314
rwtd_17,run2_union,2,0.7104382514953613,0.6769003144058588,0.2705642675890246
rwtd_18,run1_union,1,0.9105028510093689,0.9756487516850593,0.9742363918857113
rwtd_22,rwtd_22_p02_m00.png,1,0.8265398144721985,0.8983171367592242,0.8250456464979529
rwtd_24,rwtd_24_p02_m00.png,2,0.8499895334243774,0.9008463251590124,0.9158268088522691
rwtd_25,run2_union,2,0.9685990810394287,0.9850163883214257,0.976640967951302
rwtd_27,run3_union,3,0.8175100684165955,0.6836387488185806,0.5776203964419498
rwtd_28,rwtd_28_p01_m00.png,1,0.8286193013191223,0.8402393418075086,0.7006249582179844
rwtd_30,rwtd_30_p02_m09.png,3,0.6805295348167419,0.7221404189789099,0.5569979254674134
rwtd_33,run0_union,0,0.8911327719688416,0.9409438821762598,0.7755675892142426
rwtd_34,run0_union,0,0.8561140894889832,0.8769197860943809,0.6758274765266674
rwtd_36,rwtd_36_p01_m00.png,0,0.9341884851455688,0.9607002760354445,0.9628015134627428
rwtd_38,run3_union,3,0.4758044183254242,0.24443128838714992,0.2541467942738375
rwtd_39,rwtd_39_p03_m00.png,1,0.6778356432914734,0.7177486887887622,0.6386481337573295
rwtd_40,run0_union,0,0.8084499835968018,0.8047284256906208,0.810000458770832
rwtd_41,run1_union,1,0.7060285210609436,0.6935102073227524,0.04974133304365022
rwtd_44,rwtd_44_p03_m00.png,0,0.6409714818000793,0.7312657051367207,0.5795863559622603
rwtd_45,run3_union,3,0.9605448246002197,0.9926015473863815,0.9813280710111774
rwtd_47,run2_union,2,0.9501789808273315,0.9731818714106653,0.9448723663838814
rwtd_48,run2_union,2,0.6308901906013489,0.6070713323369495,0.11640106585529131
rwtd_51,run3_union,3,0.960823118686676,0.995962272480376,0.9922026290827807
rwtd_54,rwtd_54_p01_m00.png,2,0.9356099963188171,0.9867575870392228,0.9652810363339474
rwtd_56,rwtd_56_p03_m00.png,2,0.8720114827156067,0.9158863060457313,0.8222813380945588
rwtd_58,rwtd_58_p01_m00.png,1,0.8793463110923767,0.8956360361319406,0.7802146542471509
