image_id,iou,iou_inv,iou_inv_robust,used_inversion,dice,dice_inv,dice_inv_robust,boundary_precision,boundary_recall,boundary_f1,ari,pred_fg_ratio,gt_fg_ratio,oracle_agg_iou,oracle_agg_iou_inv,oracle_agg_iou_inv_robust,oracle_agg_used_inversion,oracle_agg_num_segments,agg_iou,agg_iou_inv,agg_iou_inv_robust,agg_used_inversion,agg_num_segments
rwtd_1,0.020138568129327156,0.9657931333415872,0.9657931333415872,1,0.039482024812092203,0.9825989489543767,0.9825989489543767,0.21238938052784087,0.3294117646981315,0.2582628699403156,0.8613050655449224,0.8359222412109375,0.1750946044921875,0.842964928280538,0.9657931333415872,0.9657931333415872,1,1,0.842964928280538,0.9657931333415872,0.9657931333415872,1,1
rwtd_101,0.1488945987901748,0.08514792418036035,0.1488945987901748,0,0.25919627256837297,0.15693330334603872,0.25919627256837297,0.02493074792174707,0.015094339622451644,0.018803860540603432,-0.00019468976423101328,0.1327972412109375,0.522186279296875,0.5221862792967954,0.4778137207030521,0.5221862792967954,0,2,0.5221862792967954,0.4778137207030521,0.5221862792967954,0,2
rwtd_102,0.35432573419245966,0.0,0.35432573419245966,0,0.5232503898387969,0.0,0.5232503898387969,0.0,0.0,0.0,-0.07397226194491453,0.299530029296875,0.8453521728515625,0.8453521728514335,0.22077724044782365,0.8453521728514335,0,2,0.8453521728514335,0.22077724044782365,0.8453521728514335,0,2
rwtd_103,0.004467243370117839,0.7244821934136441,0.7244821934136441,1,0.008894751719587507,0.8402315734899162,0.8402315734899162,0.08877284595068478,0.05457463884342577,0.06759442868283375,0.36578809223265407,0.522918701171875,0.2867889404296875,0.5891371976380582,0.7244821934136441,0.7244821934136441,1,1,0.5891371976380582,0.7244821934136441,0.7244821934136441,1,1
rwtd_104,0.0003116818351825484,0.46823252709524393,0.46823252709524393,1,0.0006231694397704795,0.6378179456650462,0.6378179456650462,0.15991902833684374,0.14772727272447486,0.15358157119746013,-0.008177635885378103,0.449737548828125,0.03997802734375,0.07235528942113763,0.9600219726561036,0.9600219726561036,1,2,0.07235528942113763,0.9600219726561036,0.9600219726561036,1,2
rwtd_106,0.0,0.3246966745885094,0.3246966745885094,1,0.0,0.49022041168687913,0.49022041168687913,0.05545927209609256,0.07751937984295815,0.06465952231345877,-0.0843123783876805,0.2772674560546875,0.1460723876953125,0.2021112635912167,0.8539276123045573,0.8539276123045573,1,2,0.2021112635912167,0.8539276123045573,0.8539276123045573,1,2
rwtd_107,0.173729019703193,0.14784721284919752,0.173729019703193,0,0.29602918013754953,0.25760782653679093,0.29602918013754953,0.08955223880262865,0.011861784424900147,0.0209487645375613,-0.0015632360151688015,0.1925506591796875,0.5437164306640625,0.5437164306639796,0.4562835693358679,0.5437164306639796,0,2,0.5437164306639796,0.4562835693358679,0.5437164306639796,0,2
rwtd_109,0.34999203779384525,0.27732586801882575,0.34999203779384525,0,0.5185097807921915,0.43422884474886153,0.5185097807921915,0.06267806267627697,0.020277481323156057,0.030641787897613165,0.06238912300058633,0.441558837890625,0.3345794677734375,0.34999203779384525,0.665420532226461,0.665420532226461,1,2,0.34999203779384525,0.665420532226461,0.665420532226461,1,2
rwtd_118,0.14127086838355346,0.4802351542797629,0.4802351542797629,1,0.24756764112211746,0.6488633280884761,0.6488633280884761,0.02053388090306912,0.016129032257847727,0.018066842407015695,-0.003216875629133635,0.53948974609375,0.1333160400390625,0.14127086838355346,0.8666839599608053,0.8666839599608053,1,2,0.14127086838355346,0.8666839599608053,0.8666839599608053,1,2
rwtd_12,0.07127615480264791,0.8600944182169231,0.8600944182169231,1,0.13306775192019188,0.9247857633392665,0.9247857633392665,0.21146953404259966,0.12345679012091652,0.15589905730445924,0.7161349865511841,0.5434417724609375,0.5213775634765625,0.8542414072442848,0.8600944182169231,0.8600944182169231,1,1,0.8542414072442848,0.8600944182169231,0.8600944182169231,1,1
